age,tenure_months,monthly_charges,total_charges,num_support_calls,contract_type,churn
56,45,93.75,4216.47,8,Two-Year,0.0
69,62,65.15,4051.47,1,Month-to-Month,1.0
46,57,91.62,5210.28,2,Two-Year,0.0
32,6,84.76,526.16,3,One-Year,0.0
60,28,69.65,1887.62,4,Two-Year,0.0
25,28,68.52,,3,One-Year,0.0
38,44,41.95,1841.69,0,Two-Year,0.0
56,30,34.98,1105.26,0,Month-to-Month,0.0
36,62,68.3,4251.74,3,One-Year,0.0
40,62,47.88,2991.4,1,Month-to-Month,0.0
28,1,64.21,92.7,2,Month-to-Month,1.0
28,27,54.31,1488.76,3,One-Year,0.0
41,62,29.23,1844.4,5,Two-Year,0.0
53,3,72.15,282.91,2,Two-Year,0.0
57,70,56.71,3979.53,3,One-Year,0.0
41,27,66.6,1833.65,2,Month-to-Month,1.0
20,9,47.14,419.77,0,Month-to-Month,0.0
39,62,58.3,3686.61,0,One-Year,0.0
19,37,,3525.95,1,Month-to-Month,1.0
41,51,67.57,3536.12,1,Month-to-Month,1.0
61,44,75.99,3341.55,3,Month-to-Month,1.0
47,24,39.58,878.38,1,Month-to-Month,1.0
55,59,112.78,6660.43,0,Month-to-Month,1.0
19,32,101.87,,1,Month-to-Month,0.0
38,52,92.27,4840.07,1,Month-to-Month,1.0
50,62,81.58,5025.33,0,Month-to-Month,0.0
29,58,65.3,3765.09,1,Two-Year,0.0
39,52,500.0,3745.2,2,Month-to-Month,1.0
61,12,450.0,1008.9,0,Month-to-Month,1.0
42,39,52.43,1923.58,2,One-Year,0.0
66,2,56.11,33.02,2,Month-to-Month,0.0
44,3,31.62,132.88,3,Two-Year,0.0
59,56,49.56,2814.65,1,One-Year,0.0
45,59,98.23,5816.84,2,Month-to-Month,1.0
33,2,58.32,68.29,2,Month-to-Month,1.0
32,2,58.64,114.89,3,Two-Year,0.0
64,54,71.36,3853.26,1,Two-Year,0.0
68,1,32.76,15.0,2,Month-to-Month,1.0
61,19,83.91,1669.46,1,One-Year,0.0
69,2,90.33,224.53,0,Month-to-Month,1.0
20,53,72.55,3834.1,1,Two-Year,0.0
54,44,98.03,4314.66,1,Month-to-Month,1.0
68,32,38.46,1241.14,5,Two-Year,0.0
24,70,101.87,7028.81,3,One-Year,0.0
38,32,50.39,1600.12,0,One-Year,0.0
26,68,39.4,2645.1,1,One-Year,0.0
56,55,60.25,3263.67,2,Month-to-Month,0.0
35,56,102.44,,3,Month-to-Month,0.0
21,17,64.61,1188.25,1,Month-to-Month,0.0
42,38,46.35,1793.34,1,Month-to-Month,1.0
31,24,,909.84,1,One-Year,0.0
67,69,62.9,4368.73,1,Month-to-Month,1.0
26,70,25.1,1826.97,3,Month-to-Month,0.0
43,11,39.0,475.23,4,Two-Year,0.0
19,16,95.86,1536.74,1,Two-Year,0.0
37,59,91.47,5364.38,3,Two-Year,0.0
45,70,62.43,4405.01,2,Two-Year,0.0
64,3,55.69,186.74,2,Month-to-Month,0.0
24,20,,1368.16,0,Month-to-Month,1.0
61,59,111.96,6637.4,2,One-Year,0.0
25,36,73.1,2684.08,1,One-Year,0.0
64,19,83.19,1553.85,1,Month-to-Month,1.0
52,67,60.95,,1,Two-Year,0.0
31,19,,1268.06,0,Month-to-Month,1.0
34,20,77.94,1662.56,3,Month-to-Month,0.0
53,71,67.52,4759.46,4,One-Year,0.0
67,52,27.05,1493.4,4,One-Year,0.0
57,33,90.61,3000.03,2,One-Year,0.0
21,40,52.7,2075.43,0,Month-to-Month,0.0
19,39,107.23,4157.78,3,Two-Year,0.0
23,1,78.74,62.72,2,Month-to-Month,1.0
59,11,66.42,751.83,1,Month-to-Month,1.0
21,57,73.79,4232.17,2,Two-Year,0.0
46,50,62.83,3112.81,3,Two-Year,0.0
35,23,55.27,1269.99,2,Two-Year,0.0
43,31,69.15,2250.76,2,Two-Year,0.0
61,42,82.7,3559.78,4,One-Year,0.0
51,7,55.71,411.79,0,One-Year,0.0
27,16,52.56,842.86,3,Month-to-Month,0.0
53,60,57.89,3479.4,5,Month-to-Month,1.0
31,2,84.04,198.76,1,Month-to-Month,0.0
48,1,94.05,42.91,1,Month-to-Month,1.0
