area_sqft,bedrooms,bathrooms,age_years,distance_to_city_km,location_type,price
2345.0,3,2,36,0.5,Urban,319726.76
,1,3,30,2.87,Suburban,158808.44
1516.0,3,2,16,,Suburban,206903.23
1704.0,3,1,5,0.5,Rural,204715.63
1106.0,5,1,39,36.6,Suburban,140724.23
1501.0,4,3,1,6.15,Urban,255653.59
1500.0,2,2,26,2.85,Urban,206795.85
623.0,5,2,32,14.36,Suburban,98768.1
2009.0,5,2,13,1.18,Suburban,311072.59
1800.0,2,1,11,3.11,Urban,274372.52
1187.0,2,2,39,22.14,Rural,128810.49
1414.0,2,3,11,2.19,Suburban,215554.33
1753.0,5,2,33,10.56,Urban,269297.85
1369.0,1,2,37,0.68,Suburban,172656.03
1379.0,5,3,24,6.08,Urban,209734.27
773.0,3,2,26,8.59,Urban,153942.63
1777.0,5,3,20,1.88,Suburban,267766.78
1562.0,4,1,32,3.18,Suburban,228083.76
1637.0,4,3,38,6.4,Suburban,210345.56
737.0,3,2,28,7.13,Urban,127280.42
2325.0,5,3,18,1.34,Suburban,346749.6
1577.0,4,2,1,4.23,Suburban,230689.39
1306.0,3,3,10,45.0,Suburban,151742.49
2515.0,5,1,10,3.11,Urban,359147.34
1477.0,2,3,2,12.31,Suburban,221801.56
775.0,1,2,31,1.8,Urban,149279.91
10000.0,4,2,39,4.95,Urban,206090.32
400.0,3,2,31,5.84,Suburban,65222.24
2025.0,3,1,15,7.25,Suburban,1571025.36
1292.0,1,1,6,10.12,Urban,173751.29
1129.0,2,1,20,12.71,Urban,159412.28
2036.0,4,2,22,9.64,Suburban,290517.96
674.0,3,1,8,13.17,Rural,86507.31
1768.0,3,1,17,17.37,Urban,268794.18
468.0,3,1,31,3.16,Suburban,78938.67
1169.0,5,2,7,14.05,Urban,1176261.0
898.0,4,3,9,5.87,Suburban,176162.59
2231.0,5,2,27,2.4,Suburban,321277.92
2383.0,1,3,37,1.52,Urban,291955.37
1335.0,3,2,31,11.57,Suburban,145363.82
1920.0,3,3,8,8.1,Suburban,271406.48
1410.0,1,3,38,0.59,Urban,192253.74
1784.0,3,2,0,7.08,Suburban,257580.26
1124.0,1,1,31,0.5,Rural,108616.04
646.0,3,3,23,3.97,Rural,88993.15
598.0,1,1,32,6.77,Suburban,54361.0
1692.0,5,1,7,8.4,Suburban,223864.39
2624.0,1,1,0,1.37,Urban,393408.69
1635.0,5,1,30,0.5,Suburban,219918.3
1238.0,2,3,27,6.86,Rural,151693.39
2456.0,5,2,35,13.66,Urban,346043.46
1619.0,5,1,20,12.74,Rural,181777.21
1551.0,2,1,0,3.57,Rural,199770.7
1626.0,1,3,2,6.88,Suburban,217221.57
1434.0,2,1,6,10.15,Urban,234719.89
1345.0,1,3,34,16.52,Urban,181412.64
783.0,3,2,13,5.41,Urban,157684.31
1751.0,3,2,28,16.67,Suburban,240915.99
1453.0,1,2,4,3.06,Suburban,182878.36
2097.0,3,1,20,1.98,Rural,264020.97
,5,1,17,2.79,Urban,222769.9
547.0,5,2,39,10.47,Rural,62537.1
1450.0,2,3,22,17.31,Rural,160479.55
2350.0,3,2,18,5.1,Suburban,319996.17
1308.0,1,1,31,9.52,Urban,178189.22
1055.0,1,2,23,1.2,Urban,184525.98
,3,3,14,5.66,Urban,173049.56
975.0,4,1,16,4.57,Urban,172127.61
1350.0,5,1,17,4.52,Suburban,219813.41
910.0,2,3,7,1.67,Suburban,163948.69
2249.0,4,1,7,7.8,Suburban,326990.13
1359.0,1,2,35,,Urban,201922.49
1554.0,5,2,0,8.09,Urban,262664.27
2219.0,5,2,21,10.86,Rural,300864.68
2252.0,4,2,29,4.9,Rural,272866.34
1394.0,4,1,30,15.32,Urban,216964.07
1666.0,1,2,9,6.77,Suburban,213864.19
1868.0,4,2,9,17.08,Suburban,237160.11
1404.0,5,3,1,4.22,Urban,274513.28
611.0,5,3,20,,Suburban,129129.96
1827.0,3,3,16,1.75,Urban,281994.21
1947.0,2,1,15,0.69,Urban,280412.04
9000.0,3,1,26,21.45,Rural,214966.05
1038.0,3,1,35,3.71,Suburban,157978.05
1402.0,1,3,2,0.5,Urban,215264.33
1205.0,3,1,19,7.71,Suburban,180201.02
1350.0,2,2,5,21.66,Urban,218539.98
2148.0,1,3,13,11.72,Rural,261436.6
2265.0,1,1,2,34.9,Suburban,283085.02
1835.0,5,2,32,21.88,Suburban,251783.19
1774.0,4,1,38,,Urban,261777.83
1838.0,1,3,31,2.13,Urban,283215.48
1494.0,5,2,11,0.54,Suburban,228156.93
1462.0,5,2,22,2.54,Urban,251810.67
1163.0,5,1,0,8.0,Rural,186259.55
1472.0,1,3,21,19.34,Urban,218456.47
2630.0,1,2,1,0.5,Urban,365547.62
1935.0,3,3,14,13.61,Urban,295516.8
1329.0,4,1,18,11.57,Suburban,195063.81
1264.0,1,1,35,9.39,Rural,114653.05
1068.0,5,1,10,1.09,Urban,195198.14
1687.0,4,1,34,0.5,Suburban,230145.86
1696.0,3,2,6,10.68,Urban,286335.5
778.0,5,1,10,,Rural,113330.54
1743.0,2,3,26,3.69,Suburban,230500.07
1215.0,2,3,14,3.39,Urban,219328.39
2213.0,5,2,7,0.5,Suburban,321206.27
1578.0,2,1,29,40.21,Rural,146223.4
2359.0,2,2,30,14.49,Urban,315747.8
1271.0,3,1,24,29.26,Urban,177181.46
1356.0,4,3,8,13.63,Urban,226731.81
1650.0,1,2,25,4.91,Suburban,232534.76
2028.0,2,1,31,14.92,Rural,224228.74
1783.0,5,2,24,1.77,Rural,212838.47
883.0,1,2,14,8.93,Urban,130243.3
1591.0,3,1,35,2.17,Urban,228289.01
1511.0,3,2,15,3.99,Suburban,217903.09
1285.0,4,2,10,16.43,Suburban,203952.65
1176.0,2,2,33,4.43,Urban,150807.69
2374.0,1,3,10,17.93,Suburban,323501.47
,1,3,27,7.32,Rural,130632.49
1077.0,5,2,29,2.78,Urban,194018.92
1819.0,1,3,31,2.41,Urban,266278.49
1565.0,3,2,8,,Rural,182920.24
1462.0,2,2,8,6.79,Urban,239805.55
1891.0,2,2,23,14.59,Urban,300030.95
1744.0,3,3,36,2.04,Urban,252478.1
1681.0,3,2,16,5.22,Suburban,227731.34
1982.0,1,2,5,33.03,Urban,264440.21
1642.0,5,3,31,4.0,Urban,269579.57
1192.0,2,3,12,22.3,Suburban,153773.75
1319.0,3,3,19,14.02,Suburban,174057.95
1240.0,3,3,3,5.46,Suburban,199886.8
1605.0,5,1,12,8.07,Suburban,262856.82
961.0,5,2,38,0.54,Rural,754026.8999999999
584.0,5,3,12,5.81,Urban,141924.75
1544.0,4,1,34,11.41,Suburban,180357.74
832.0,2,1,5,2.09,Urban,162042.79
524.0,2,2,16,,Suburban,102398.78
1687.0,1,2,35,0.5,Urban,215418.99
1144.0,2,1,4,1.4,Urban,181295.23
1748.0,1,1,26,2.17,Rural,192610.82
1235.0,3,1,17,13.09,Urban,210203.17
939.0,5,3,21,4.92,Suburban,162671.91
878.0,3,3,4,6.14,Rural,117874.13
1243.0,4,1,18,3.0,Urban,185941.69
1363.0,2,3,33,2.84,Urban,231821.87
1088.0,5,2,3,6.45,Suburban,202109.75
,1,1,14,10.96,Urban,182966.2
732.0,4,1,3,1.59,Urban,178943.59
1507.0,4,2,6,4.56,Suburban,243440.64
603.0,4,3,22,8.26,Urban,129847.61
1403.0,5,3,29,25.77,Urban,219206.77
1849.0,2,1,7,2.51,Urban,287813.12
2046.0,2,2,1,3.99,Suburban,310253.03
2357.0,3,1,13,6.74,Suburban,320202.07
722.0,5,3,19,1.22,Suburban,150134.16
1879.0,2,3,38,7.57,Urban,284191.37
2103.0,2,1,4,29.34,Rural,224703.96
1990.0,1,3,16,2.56,Urban,290032.79
,4,2,36,5.24,Suburban,147162.11
1706.0,1,1,11,1.0,Urban,265179.74
2430.0,4,2,19,5.84,Rural,285771.01
751.0,3,1,8,28.48,Suburban,115466.29
1738.0,3,2,34,6.25,Suburban,203408.55
2056.0,3,2,15,1.92,Suburban,290764.8
10000.0,4,1,26,2.98,Suburban,160810.21
1791.0,2,3,3,7.88,Suburban,247976.89
965.0,5,1,25,15.56,Suburban,158877.66
1094.0,2,3,28,4.83,Suburban,145196.85
1091.0,5,3,2,5.39,Urban,221175.02
