CustomerID,Gender,SeniorCitizen,Tenure,MonthlyCharges,TotalCharges,ContractType,InternetService,PaymentMethod,Churn
CUST0001,Male,0,14.0,90.51,1223.55,Month-to-Month,Fiber Optic,Credit Card,1.0
CUST0002,Female,0,21.0,71.05,1417.56,Two Year,DSL,Electronic Check,1.0
CUST0003,Female,0,48.0,81.46,4095.32,Month-to-Month,Fiber Optic,Mailed Check,0.0
CUST0004,Male,0,63.0,,6657.48,Month-to-Month,Fiber Optic,Electronic Check,0.0
CUST0005,Female,0,52.0,54.06,2842.04,Two Year,DSL,Bank Transfer,0.0
CUST0006,Female,0,3.0,61.07,,Two Year,DSL,Mailed Check,1.0
CUST0007,Female,1,13.0,83.77,1091.28,Two Year,Fiber Optic,Electronic Check,1.0
CUST0008,Female,0,23.0,81.66,1810.74,Two Year,Fiber Optic,Electronic Check,1.0
CUST0009,Male,0,7.0,71.53,512.18,One Year,DSL,Electronic Check,0.0
CUST0010,Female,0,6.0,24.94,147.71,One Year,No,Electronic Check,0.0
CUST0011,Female,0,34.0,76.92,2683.48,One Year,Fiber Optic,Bank Transfer,1.0
CUST0012,Male,0,14.0,55.2,803.38,Month-to-Month,DSL,Electronic Check,1.0
CUST0013,Female,0,14.0,74.92,1026.83,Month-to-Month,Fiber Optic,Mailed Check,0.0
CUST0014,Female,0,5.0,77.9,404.43,Month-to-Month,Fiber Optic,Bank Transfer,0.0
CUST0015,Male,1,0.0,60.99,60.99,Two Year,DSL,Bank Transfer,1.0
CUST0016,Male,0,36.0,78.22,2722.51,Month-to-Month,Fiber Optic,Credit Card,0.0
CUST0017,Male,0,57.0,25.01,1397.18,Month-to-Month,No,,1.0
CUST0018,Female,0,53.0,56.7,3059.4,Month-to-Month,DSL,Mailed Check,0.0
CUST0019,Female,0,54.0,81.79,4358.26,One Year,Fiber Optic,Mailed Check,0.0
CUST0020,Male,0,72.0,46.0,3342.1,One Year,DSL,Bank Transfer,0.0
CUST0021,Male,0,70.0,64.6,,Month-to-Month,DSL,Credit Card,0.0
CUST0022,Female,1,41.0,67.97,,Month-to-Month,DSL,Mailed Check,0.0
CUST0023,Female,1,36.0,21.56,791.71,Two Year,No,Credit Card,0.0
CUST0024,Female,1,71.0,97.57,6838.99,Two Year,Fiber Optic,Electronic Check,1.0
CUST0025,Female,0,65.0,93.32,6194.5,Month-to-Month,Fiber Optic,Electronic Check,1.0
CUST0026,Female,0,6.0,82.75,496.94,One Year,Fiber Optic,Mailed Check,1.0
CUST0027,Female,1,50.0,35.57,1778.97,One Year,No,Credit Card,0.0
CUST0028,Female,0,18.0,96.18,1816.86,Month-to-Month,Fiber Optic,Mailed Check,0.0
CUST0029,Male,0,36.0,33.23,1251.74,Two Year,No,Bank Transfer,0.0
CUST0030,Female,1,66.0,66.07,4446.1,One Year,DSL,Credit Card,1.0
CUST0031,Male,1,65.0,52.08,3503.23,Month-to-Month,DSL,Mailed Check,1.0
CUST0032,Male,0,25.0,41.47,1037.93,Month-to-Month,No,Electronic Check,1.0
CUST0033,Female,0,15.0,66.87,1010.96,Month-to-Month,DSL,Bank Transfer,1.0
CUST0034,Male,0,61.0,58.03,3376.06,Two Year,DSL,Mailed Check,0.0
CUST0035,Male,0,52.0,73.53,3954.33,Month-to-Month,DSL,Mailed Check,0.0
CUST0036,Male,0,15.0,28.56,441.05,Month-to-Month,No,Credit Card,0.0
CUST0037,Female,0,61.0,33.01,1947.82,Month-to-Month,No,Mailed Check,1.0
CUST0038,Female,0,0.0,35.3,35.3,One Year,No,Bank Transfer,1.0
CUST0039,Female,0,56.0,43.7,2401.05,Two Year,DSL,Electronic Check,0.0
CUST0040,Female,0,38.0,60.44,2192.92,Two Year,DSL,Credit Card,1.0
CUST0041,Male,0,18.0,105.85,1841.08,Month-to-Month,Fiber Optic,Bank Transfer,0.0
CUST0042,Female,0,23.0,89.22,2115.92,Two Year,Fiber Optic,Credit Card,0.0
CUST0043,Male,0,42.0,43.09,1722.59,Month-to-Month,DSL,Bank Transfer,1.0
CUST0044,Female,0,25.0,81.23,2029.95,One Year,Fiber Optic,Mailed Check,0.0
CUST0045,Male,0,20.0,30.19,607.94,One Year,No,Bank Transfer,0.0
CUST0046,Female,0,23.0,28.62,670.1,One Year,No,Bank Transfer,1.0
CUST0047,Male,0,12.0,22.89,285.82,Month-to-Month,No,Bank Transfer,0.0
CUST0048,Male,1,15.0,80.02,1221.01,One Year,Fiber Optic,Bank Transfer,0.0
CUST0049,Male,0,41.0,35.48,1489.16,Month-to-Month,No,Bank Transfer,1.0
CUST0050,Female,0,57.0,69.89,4063.79,Month-to-Month,Fiber Optic,Mailed Check,0.0
CUST0051,Female,0,36.0,66.07,2468.99,Month-to-Month,DSL,Bank Transfer,0.0
CUST0052,Female,0,30.0,87.17,2549.39,Month-to-Month,Fiber Optic,Mailed Check,1.0
CUST0053,Male,0,57.0,103.92,6068.1,One Year,Fiber Optic,Credit Card,0.0
CUST0054,Male,0,24.0,,664.33,Two Year,No,Electronic Check,0.0
CUST0055,Female,0,35.0,109.0,3864.37,One Year,Fiber Optic,Bank Transfer,0.0
CUST0056,Female,0,15.0,111.2,1594.25,Month-to-Month,Fiber Optic,Credit Card,1.0
CUST0057,Female,0,35.0,84.97,2848.37,Two Year,Fiber Optic,Credit Card,0.0
