customer_id,age_group,membership,session_time,category
CUST0001,Young_Adult,Platinum,Short,Beauty
CUST0002,Young_Adult,Gold,Medium,Electronics
CUST0003,Young_Adult,Platinum,Medium,Sports
CUST0004,Teen,Bronze,Medium,Clothing
CUST0005,Teen,Platinum,Long,Electronics
CUST0006,Senior,Gold,Long,Electronics
CUST0007,Senior,Gold,Short,Home
CUST0008,Adult,Platinum,Medium,Sports
CUST0009,Young_Adult,Silver,Long,Electronics
CUST0010,Senior,Platinum,Short,Home
CUST0011,Senior,Silver,Short,Sports
CUST0012,Young_Adult,Bronze,Medium,Sports
CUST0013,Teen,Silver,Long,Clothing
CUST0014,Young_Adult,Platinum,Long,Clothing
CUST0015,Adult,Bronze,Long,Books
CUST0016,Teen,Bronze,Medium,Clothing
CUST0017,Teen,Gold,Short,Beauty
CUST0018,Adult,Bronze,Long,Books
CUST0019,Teen,Bronze,Medium,Home
CUST0020,Young_Adult,Bronze,Medium,Sports
CUST0021,Adult,Bronze,Short,Books
CUST0022,Senior,Platinum,Medium,Electronics
CUST0023,Young_Adult,Platinum,Long,Sports
CUST0024,Young_Adult,Platinum,Short,Beauty
CUST0025,Teen,Bronze,Short,Clothing
CUST0026,Young_Adult,Bronze,Long,Electronics
CUST0027,Senior,Silver,Short,Home
CUST0028,Senior,Bronze,Long,Home
CUST0029,Adult,Gold,Long,Electronics
CUST0030,Young_Adult,Gold,Long,Electronics
CUST0031,Senior,Silver,Long,Home
CUST0032,Young_Adult,Gold,Short,Clothing
CUST0033,Senior,Platinum,Medium,Books
CUST0034,Adult,Silver,Short,Clothing
CUST0035,Adult,Platinum,Long,Beauty
CUST0036,Teen,Bronze,Medium,Clothing
CUST0037,Adult,Gold,Long,Electronics
CUST0038,Adult,Platinum,Medium,Beauty
CUST0039,Adult,Gold,Medium,Home
CUST0040,Adult,Silver,Long,Electronics
CUST0041,Teen,Silver,Short,Clothing
CUST0042,Adult,Bronze,Long,Home
CUST0043,Young_Adult,Bronze,Long,Electronics
CUST0044,Teen,Silver,Short,Clothing
CUST0045,Young_Adult,Bronze,Long,Sports
CUST0046,Teen,Platinum,Long,Clothing
CUST0047,Teen,Silver,Long,Beauty
CUST0048,Adult,Bronze,Medium,Books
CUST0049,Senior,Bronze,Long,Home
CUST0050,Adult,Bronze,Long,Clothing
CUST0051,Teen,Gold,Short,Clothing
CUST0052,Adult,Silver,Long,Electronics
CUST0053,Adult,Platinum,Medium,Clothing
CUST0054,Teen,Platinum,Long,Home
CUST0055,Senior,Platinum,Medium,Home
CUST0056,Young_Adult,Silver,Long,Beauty
CUST0057,Senior,Gold,Long,Sports
CUST0058,Senior,Gold,Short,Home
CUST0059,Young_Adult,Silver,Medium,Books
CUST0060,Adult,Platinum,Short,Electronics
CUST0061,Teen,Bronze,Medium,Sports
CUST0062,Adult,Platinum,Medium,Books
CUST0063,Adult,Bronze,Medium,Beauty
CUST0064,Adult,Bronze,Medium,Books
CUST0065,Teen,Bronze,Short,Clothing
CUST0066,Senior,Gold,Medium,Beauty
CUST0067,Teen,Gold,Long,Electronics
CUST0068,Young_Adult,Bronze,Short,Home
CUST0069,Teen,Gold,Short,Clothing
CUST0070,Teen,Silver,Medium,Clothing
CUST0071,Young_Adult,Silver,Short,Beauty
CUST0072,Teen,Gold,Medium,Clothing
CUST0073,Young_Adult,Bronze,Short,Clothing
CUST0074,Teen,Silver,Medium,Books
CUST0075,Senior,Bronze,Medium,Electronics
CUST0076,Teen,Gold,Short,Clothing
CUST0077,Senior,Silver,Medium,Home
CUST0078,Senior,Gold,Long,Electronics
CUST0079,Young_Adult,Gold,Long,Electronics
CUST0080,Teen,Gold,Medium,Home
CUST0081,Senior,Silver,Short,Sports
CUST0082,Teen,Gold,Medium,Clothing
CUST0083,Teen,Bronze,Long,Clothing
CUST0084,Young_Adult,Gold,Long,Electronics
CUST0085,Teen,Gold,Medium,Beauty
CUST0086,Senior,Gold,Long,Electronics
CUST0087,Adult,Bronze,Short,Books
CUST0088,Teen,Bronze,Medium,Clothing
CUST0089,Senior,Bronze,Long,Home
CUST0090,Teen,Platinum,Medium,Electronics
CUST0091,Teen,Bronze,Long,Beauty
CUST0092,Teen,Platinum,Short,Sports
CUST0093,Senior,Bronze,Short,Home
CUST0094,Young_Adult,Silver,Medium,Electronics
CUST0095,Senior,Silver,Long,Home
