annual_income,spending_score,age,membership_years,preferred_category,customer_type
62878.0,56.4,37.0,0.0,Electronics,Bronze
,58.3,37.0,6.0,Fashion,Silver
56906.0,58.6,42.0,13.0,Fashion,Gold
58411.0,85.0,53.0,9.0,Fashion,Gold
41605.0,39.9,51.0,10.0,Electronics,Silver
46979.0,16.4,31.0,11.0,Fashion,Bronze
50665.0,34.6,22.0,5.0,Grocery,Bronze
59594.0,66.7,23.0,8.0,Fashion,Silver
54388.0,50.5,29.0,6.0,Electronics,Silver
78461.0,39.7,34.0,12.0,Fashion,Gold
71942.0,26.3,42.0,6.0,Electronics,Silver
51073.0,54.9,28.0,1.0,Grocery,Gold
82636.0,64.2,41.0,11.0,Grocery,Gold
92460.0,56.7,42.0,10.0,Fashion,Silver
14123.0,44.4,40.0,14.0,Fashion,Bronze
73646.0,53.2,24.0,8.0,Grocery,Gold
41140.0,53.1,44.0,9.0,Fashion,Silver
71015.0,54.2,63.0,8.0,Grocery,Gold
79765.0,23.9,41.0,5.0,Fashion,Gold
37460.0,54.3,18.0,12.0,Grocery,Silver
17953.0,40.3,53.0,2.0,Fashion,Bronze
71709.0,72.9,30.0,0.0,Fashion,Gold
57708.0,52.9,65.0,3.0,Grocery,Silver
21631.0,68.4,39.0,13.0,Fashion,Silver
105591.0,43.4,18.0,13.0,Fashion,Gold
,44.2,18.0,2.0,Electronics,Silver
68402.0,82.9,56.0,13.0,Fashion,Gold
82316.0,59.6,51.0,11.0,Fashion,Gold
43384.0,34.3,65.0,0.0,Electronics,Bronze
57609.0,69.7,38.0,2.0,Electronics,Silver
28614.0,38.3,37.0,13.0,Fashion,Bronze
42841.0,55.0,33.0,13.0,Grocery,Gold
62713.0,90.4,30.0,3.0,Fashion,Gold
21694.0,18.5,33.0,12.0,Electronics,Bronze
42274.0,46.1,41.0,12.0,Fashion,Bronze
,59.0,28.0,14.0,Electronics,Silver
57842.0,66.8,18.0,13.0,Fashion,Silver
66494.0,22.7,40.0,7.0,Electronics,Bronze
69843.0,16.2,28.0,8.0,Electronics,Silver
74976.0,74.0,18.0,2.0,Electronics,Gold
82442.0,34.2,45.0,5.0,Fashion,Gold
67145.0,33.2,25.0,9.0,Electronics,Gold
92747.0,84.1,46.0,10.0,Fashion,Gold
57390.0,51.5,46.0,14.0,Fashion,Gold
,51.7,41.0,4.0,Fashion,Silver
67146.0,46.0,68.0,5.0,Fashion,Silver
50672.0,23.1,36.0,3.0,Grocery,Bronze
92051.0,64.9,35.0,9.0,Electronics,Gold
77620.0,59.0,46.0,5.0,Fashion,Gold
70006.0,53.7,37.0,6.0,Electronics,Gold
57628.0,47.4,52.0,8.0,Electronics,Silver
46850.0,43.6,23.0,9.0,Fashion,Bronze
69027.0,70.1,23.0,6.0,Fashion,Gold
32458.0,46.9,47.0,5.0,Grocery,Silver
85687.0,48.6,24.0,0.0,Fashion,Silver
51447.0,61.7,45.0,1.0,Grocery,Silver
61102.0,54.6,42.0,0.0,Electronics,Gold
36808.0,86.1,30.0,8.0,Electronics,Gold
69460.0,11.2,42.0,9.0,Electronics,Bronze
45925.0,56.6,23.0,9.0,Electronics,Bronze
67985.0,34.5,26.0,8.0,Fashion,Silver
70148.0,29.3,35.0,6.0,Fashion,Silver
42047.0,39.9,39.0,12.0,Electronics,Silver
32529.0,51.2,34.0,1.0,Grocery,Bronze
85638.0,52.2,43.0,5.0,Grocery,Gold
51154.0,16.6,43.0,10.0,Electronics,Silver
59497.0,38.1,56.0,3.0,Electronics,Silver
64709.0,56.2,37.0,0.0,Electronics,Gold
29926.0,30.7,52.0,0.0,Electronics,Bronze
64253.0,25.5,49.0,11.0,Electronics,Bronze
56983.0,1.0,66.0,4.0,Fashion,Bronze
42129.0,35.4,36.0,11.0,Electronics,Silver
31869.0,24.7,33.0,1.0,Fashion,Bronze
67118.0,28.4,53.0,3.0,Grocery,Bronze
77554.0,44.0,43.0,0.0,Fashion,Silver
58572.0,36.8,53.0,3.0,Grocery,Bronze
26311.0,24.3,47.0,10.0,Electronics,Bronze
33853.0,3.5,18.0,5.0,Fashion,Bronze
46358.0,56.7,43.0,9.0,Fashion,Silver
86292.0,66.6,42.0,3.0,Electronics,Gold
50065.0,41.3,40.0,0.0,Electronics,Bronze
45629.0,44.2,36.0,6.0,Fashion,Bronze
,50.1,19.0,13.0,Fashion,Bronze
41866.0,84.7,48.0,1.0,Fashion,Silver
30341.0,15.5,42.0,8.0,Fashion,Bronze
34936.0,40.9,51.0,12.0,Fashion,Bronze
57399.0,12.1,20.0,2.0,Electronics,Bronze
46977.0,58.0,44.0,7.0,Electronics,Bronze
88990.0,46.8,35.0,12.0,Electronics,Gold
76560.0,54.5,40.0,7.0,Electronics,Gold
42822.0,53.4,35.0,2.0,Grocery,Bronze
36664.0,71.8,45.0,3.0,Fashion,Bronze
82653.0,61.8,36.0,1.0,Grocery,Gold
88201.0,68.3,25.0,3.0,Electronics,Gold
11115.0,26.6,39.0,10.0,Fashion,Bronze
56857.0,76.2,35.0,10.0,Electronics,Gold
49962.0,34.1,37.0,10.0,Electronics,Bronze
67982.0,35.4,18.0,13.0,Electronics,Gold
,56.0,46.0,8.0,Grocery,Gold
45319.0,56.6,34.0,1.0,Fashion,Silver
13786.0,26.4,22.0,11.0,Fashion,Bronze
66580.0,46.2,49.0,11.0,Fashion,Gold
82799.0,82.7,46.0,12.0,Grocery,Gold
,17.7,34.0,2.0,Electronics,Bronze
40899.0,82.7,24.0,14.0,Electronics,Silver
46255.0,44.7,40.0,10.0,Electronics,Silver
72004.0,1.0,39.0,10.0,Grocery,Silver
45911.0,19.9,49.0,14.0,Grocery,Bronze
61575.0,28.8,33.0,3.0,Electronics,Silver
55556.0,36.3,52.0,4.0,Grocery,Silver
53492.0,47.7,32.0,0.0,Grocery,Silver
,1.0,22.0,6.0,Electronics,Silver
45428.0,54.1,24.0,13.0,Fashion,Silver
46388.0,26.8,37.0,9.0,Fashion,Bronze
70952.0,80.6,37.0,6.0,Grocery,Gold
35261.0,44.1,42.0,8.0,Electronics,Bronze
,70.7,37.0,3.0,Grocery,Silver
29794.0,74.4,50.0,13.0,Electronics,Gold
71980.0,73.8,35.0,13.0,Grocery,Gold
52895.0,37.5,18.0,5.0,Fashion,Bronze
28728.0,37.3,37.0,10.0,Fashion,Bronze
72076.0,45.1,18.0,1.0,Grocery,Gold
43889.0,64.0,41.0,11.0,Grocery,Silver
,38.8,51.0,11.0,Grocery,Silver
51086.0,47.4,26.0,13.0,Electronics,Silver
,56.0,55.0,3.0,Fashion,Gold
47101.0,30.1,48.0,1.0,Electronics,Bronze
66507.0,28.7,52.0,9.0,Fashion,Silver
69542.0,46.5,40.0,4.0,Fashion,Silver
63865.0,49.4,26.0,14.0,Fashion,Gold
80421.0,59.5,47.0,6.0,Fashion,Gold
40858.0,64.8,31.0,12.0,Grocery,Gold
34133.0,25.8,39.0,0.0,Electronics,Bronze
