student_id,year_of_study,study_time,group_size,study_purpose,location
STU0001,Senior,Afternoon,Solo,Reading,Outdoor
STU0002,Sophomore,Late_Night,Pair,Reading,Dorm
STU0003,Sophomore,Afternoon,Large_Group,Exam_Prep,Cafe
STU0004,Sophomore,Evening,Solo,Assignment,Cafe
STU0005,Junior,Morning,Large_Group,Project,Library
STU0006,Freshman,Afternoon,Large_Group,Reading,Study_Hall
STU0007,Sophomore,Late_Night,Small_Group,Reading,Study_Hall
STU0008,Junior,Morning,Pair,Reading,Dorm
STU0009,Sophomore,Evening,Large_Group,Exam_Prep,Library
STU0010,Senior,Morning,Large_Group,Assignment,Outdoor
STU0011,Sophomore,Afternoon,Pair,Project,Cafe
STU0012,Senior,Morning,Large_Group,Exam_Prep,Outdoor
STU0013,Senior,Late_Night,Small_Group,Assignment,Study_Hall
STU0014,Senior,Evening,Large_Group,Reading,Cafe
STU0015,Sophomore,Late_Night,Small_Group,Exam_Prep,Outdoor
STU0016,Senior,Late_Night,Solo,Assignment,Dorm
STU0017,Junior,Morning,Pair,Exam_Prep,Library
STU0018,Freshman,Afternoon,Solo,Reading,Library
STU0019,Senior,Late_Night,Pair,Assignment,Dorm
STU0020,Sophomore,Evening,Solo,Project,Dorm
STU0021,Sophomore,Afternoon,Pair,Assignment,Cafe
STU0022,Junior,Afternoon,Small_Group,Assignment,Dorm
STU0023,Junior,Afternoon,Small_Group,Project,Cafe
STU0024,Freshman,Afternoon,Large_Group,Reading,Dorm
STU0025,Freshman,Morning,Large_Group,Reading,Study_Hall
STU0026,Junior,Afternoon,Small_Group,Project,Library
STU0027,Freshman,Evening,Solo,Reading,Library
STU0028,Sophomore,Late_Night,Large_Group,Exam_Prep,Library
STU0029,Senior,Late_Night,Pair,Exam_Prep,Library
STU0030,Senior,Afternoon,Small_Group,Reading,Cafe
STU0031,Sophomore,Morning,Large_Group,Project,Library
STU0032,Junior,Late_Night,Small_Group,Exam_Prep,Library
STU0033,Sophomore,Late_Night,Pair,Assignment,Cafe
STU0034,Sophomore,Late_Night,Small_Group,Reading,Dorm
STU0035,Senior,Afternoon,Solo,Project,Study_Hall
STU0036,Senior,Morning,Pair,Reading,Outdoor
STU0037,Senior,Afternoon,Small_Group,Project,Outdoor
STU0038,Freshman,Afternoon,Large_Group,Exam_Prep,Library
STU0039,Sophomore,Afternoon,Solo,Project,Dorm
STU0040,Junior,Afternoon,Large_Group,Project,Study_Hall
STU0041,Freshman,Afternoon,Large_Group,Exam_Prep,Library
STU0042,Freshman,Morning,Pair,Reading,Dorm
STU0043,Freshman,Late_Night,Large_Group,Assignment,Dorm
STU0044,Senior,Morning,Small_Group,Reading,Outdoor
STU0045,Freshman,Afternoon,Pair,Exam_Prep,Cafe
STU0046,Sophomore,Late_Night,Small_Group,Assignment,Outdoor
STU0047,Sophomore,Late_Night,Solo,Assignment,Dorm
STU0048,Senior,Morning,Small_Group,Exam_Prep,Study_Hall
STU0049,Senior,Afternoon,Large_Group,Project,Study_Hall
STU0050,Freshman,Afternoon,Solo,Reading,Study_Hall
STU0051,Senior,Late_Night,Solo,Project,Dorm
STU0052,Sophomore,Late_Night,Small_Group,Project,Outdoor
STU0053,Sophomore,Afternoon,Pair,Exam_Prep,Library
STU0054,Senior,Late_Night,Large_Group,Project,Study_Hall
STU0055,Junior,Morning,Solo,Exam_Prep,Outdoor
STU0056,Freshman,Evening,Solo,Project,Cafe
STU0057,Junior,Late_Night,Large_Group,Project,Study_Hall
STU0058,Senior,Evening,Small_Group,Assignment,Dorm
STU0059,Freshman,Morning,Large_Group,Reading,Cafe
STU0060,Junior,Morning,Small_Group,Exam_Prep,Library
STU0061,Junior,Afternoon,Small_Group,Reading,Cafe
STU0062,Sophomore,Morning,Pair,Exam_Prep,Library
STU0063,Senior,Late_Night,Small_Group,Assignment,Outdoor
STU0064,Junior,Afternoon,Pair,Project,Cafe
STU0065,Sophomore,Evening,Solo,Reading,Cafe
STU0066,Sophomore,Evening,Solo,Reading,Dorm
STU0067,Senior,Morning,Large_Group,Reading,Outdoor
STU0068,Freshman,Evening,Large_Group,Project,Study_Hall
STU0069,Freshman,Late_Night,Small_Group,Reading,Library
STU0070,Senior,Evening,Small_Group,Reading,Dorm
STU0071,Junior,Afternoon,Solo,Exam_Prep,Library
STU0072,Freshman,Late_Night,Pair,Project,Library
STU0073,Freshman,Evening,Solo,Project,Dorm
STU0074,Freshman,Late_Night,Solo,Exam_Prep,Dorm
STU0075,Junior,Morning,Solo,Exam_Prep,Dorm
STU0076,Junior,Late_Night,Small_Group,Reading,Study_Hall
STU0077,Sophomore,Evening,Solo,Exam_Prep,Library
STU0078,Sophomore,Evening,Large_Group,Assignment,Outdoor
STU0079,Junior,Afternoon,Large_Group,Assignment,Outdoor
STU0080,Freshman,Evening,Solo,Reading,Library
STU0081,Senior,Evening,Small_Group,Exam_Prep,Dorm
STU0082,Freshman,Afternoon,Small_Group,Assignment,Dorm
STU0083,Senior,Morning,Small_Group,Assignment,Outdoor
STU0084,Freshman,Morning,Pair,Reading,Dorm
STU0085,Sophomore,Afternoon,Pair,Reading,Outdoor
STU0086,Freshman,Afternoon,Large_Group,Exam_Prep,Cafe
STU0087,Senior,Afternoon,Large_Group,Assignment,Dorm
STU0088,Freshman,Morning,Pair,Project,Cafe
STU0089,Sophomore,Morning,Solo,Project,Outdoor
STU0090,Sophomore,Afternoon,Pair,Assignment,Cafe
STU0091,Freshman,Afternoon,Small_Group,Project,Library
STU0092,Sophomore,Morning,Pair,Exam_Prep,Library
STU0093,Senior,Evening,Large_Group,Assignment,Library
STU0094,Sophomore,Morning,Solo,Reading,Outdoor
STU0095,Sophomore,Afternoon,Pair,Assignment,Library
STU0096,Freshman,Late_Night,Small_Group,Assignment,Cafe
STU0097,Sophomore,Late_Night,Pair,Exam_Prep,Outdoor
STU0098,Senior,Evening,Large_Group,Exam_Prep,Outdoor
STU0099,Freshman,Afternoon,Large_Group,Exam_Prep,Library
STU0100,Senior,Late_Night,Solo,Reading,Library
STU0101,Sophomore,Late_Night,Pair,Reading,Outdoor
STU0102,Senior,Morning,Solo,Reading,Library
STU0103,Sophomore,Late_Night,Solo,Reading,Library
STU0104,Senior,Evening,Pair,Reading,Outdoor
STU0105,Senior,Late_Night,Solo,Project,Dorm
STU0106,Sophomore,Evening,Small_Group,Assignment,Study_Hall
STU0107,Senior,Evening,Large_Group,Project,Dorm
STU0108,Freshman,Afternoon,Solo,Exam_Prep,Library
STU0109,Senior,Morning,Large_Group,Assignment,Outdoor
STU0110,Freshman,Afternoon,Pair,Assignment,Dorm
STU0111,Sophomore,Late_Night,Pair,Exam_Prep,Dorm
STU0112,Sophomore,Late_Night,Solo,Assignment,Outdoor
STU0113,Senior,Afternoon,Large_Group,Exam_Prep,Library
STU0114,Freshman,Late_Night,Solo,Project,Dorm
STU0115,Junior,Morning,Solo,Exam_Prep,Study_Hall
STU0116,Junior,Afternoon,Large_Group,Assignment,Study_Hall
STU0117,Junior,Afternoon,Small_Group,Exam_Prep,Cafe
STU0118,Freshman,Afternoon,Large_Group,Reading,Library
STU0119,Freshman,Late_Night,Solo,Reading,Dorm
STU0120,Junior,Evening,Pair,Assignment,Dorm
STU0121,Sophomore,Morning,Large_Group,Project,Study_Hall
STU0122,Freshman,Afternoon,Small_Group,Project,Study_Hall
STU0123,Junior,Morning,Large_Group,Project,Cafe
STU0124,Junior,Evening,Solo,Assignment,Study_Hall
STU0125,Senior,Morning,Small_Group,Exam_Prep,Library
STU0126,Junior,Evening,Large_Group,Exam_Prep,Library
STU0127,Junior,Morning,Solo,Exam_Prep,Cafe
STU0128,Junior,Evening,Small_Group,Reading,Library
STU0129,Sophomore,Morning,Small_Group,Assignment,Cafe
STU0130,Junior,Evening,Large_Group,Reading,Outdoor
STU0131,Junior,Evening,Large_Group,Reading,Study_Hall
STU0132,Freshman,Evening,Small_Group,Reading,Study_Hall
STU0133,Senior,Morning,Pair,Exam_Prep,Outdoor
STU0134,Senior,Afternoon,Pair,Project,Library
STU0135,Senior,Morning,Small_Group,Assignment,Outdoor
STU0136,Sophomore,Morning,Small_Group,Reading,Study_Hall
STU0137,Sophomore,Late_Night,Large_Group,Project,Cafe
STU0138,Freshman,Late_Night,Small_Group,Reading,Library
STU0139,Freshman,Late_Night,Solo,Reading,Library
STU0140,Junior,Late_Night,Small_Group,Exam_Prep,Library
STU0141,Junior,Afternoon,Solo,Exam_Prep,Outdoor
STU0142,Junior,Late_Night,Large_Group,Reading,Library
STU0143,Sophomore,Afternoon,Pair,Reading,Study_Hall
STU0144,Sophomore,Morning,Solo,Exam_Prep,Study_Hall
STU0145,Freshman,Evening,Large_Group,Assignment,Study_Hall
STU0146,Sophomore,Afternoon,Pair,Exam_Prep,Cafe
STU0147,Freshman,Evening,Solo,Assignment,Library
STU0148,Senior,Afternoon,Large_Group,Project,Study_Hall
STU0149,Senior,Afternoon,Solo,Assignment,Dorm
STU0150,Junior,Evening,Large_Group,Project,Cafe
STU0151,Junior,Afternoon,Solo,Exam_Prep,Library
STU0152,Sophomore,Evening,Small_Group,Reading,Outdoor
STU0153,Junior,Morning,Solo,Project,Study_Hall
STU0154,Senior,Evening,Solo,Project,Outdoor
STU0155,Sophomore,Afternoon,Small_Group,Project,Dorm
STU0156,Junior,Evening,Pair,Exam_Prep,Library
STU0157,Senior,Evening,Large_Group,Project,Study_Hall
STU0158,Freshman,Evening,Small_Group,Assignment,Study_Hall
STU0159,Sophomore,Evening,Small_Group,Reading,Study_Hall
STU0160,Sophomore,Evening,Pair,Project,Cafe
STU0161,Junior,Morning,Large_Group,Exam_Prep,Library
STU0162,Junior,Morning,Small_Group,Assignment,Dorm
STU0163,Junior,Evening,Pair,Project,Library
STU0164,Freshman,Late_Night,Pair,Assignment,Dorm
STU0165,Freshman,Evening,Solo,Reading,Library
STU0166,Senior,Morning,Small_Group,Reading,Outdoor
STU0167,Senior,Late_Night,Pair,Assignment,Cafe
STU0168,Freshman,Afternoon,Large_Group,Project,Outdoor
STU0169,Sophomore,Evening,Solo,Reading,Cafe
STU0170,Freshman,Late_Night,Pair,Exam_Prep,Dorm
STU0171,Freshman,Morning,Pair,Exam_Prep,Cafe
STU0172,Junior,Evening,Solo,Reading,Library
STU0173,Sophomore,Morning,Large_Group,Reading,Study_Hall
STU0174,Sophomore,Evening,Large_Group,Assignment,Dorm
STU0175,Sophomore,Afternoon,Large_Group,Exam_Prep,Cafe
STU0176,Senior,Afternoon,Large_Group,Assignment,Dorm
STU0177,Freshman,Evening,Solo,Assignment,Dorm
STU0178,Junior,Morning,Large_Group,Assignment,Library
STU0179,Junior,Late_Night,Pair,Project,Outdoor
STU0180,Sophomore,Afternoon,Solo,Reading,Study_Hall
STU0181,Sophomore,Afternoon,Large_Group,Exam_Prep,Dorm
STU0182,Senior,Evening,Small_Group,Exam_Prep,Library
STU0183,Junior,Afternoon,Pair,Exam_Prep,Cafe
STU0184,Sophomore,Morning,Small_Group,Reading,Outdoor
STU0185,Junior,Morning,Small_Group,Reading,Outdoor
