Brand,Processor,RAM_GB,Storage_GB,Screen_Size,Graphics_Card,Weight_kg,Operating_System,Price
MSI,Intel i9,,1024.0,15.6,NVIDIA RTX 4060,2.57,Windows 10,3078.17
Lenovo,Apple M1,64.0,2048.0,17.3,NVIDIA RTX 3050,1.25,Windows 10,3063.43
Apple,AMD Ryzen 5,8.0,2048.0,17.3,NVIDIA RTX 4060,,Windows 10,2445.25
Asus,Apple M2,4.0,1024.0,15.6,NVIDIA GTX 1650,1.31,Linux,1810.87
Apple,Intel i7,32.0,1024.0,17.3,Integrated,1.31,macOS,2465.41
Dell,AMD Ryzen 7,8.0,2048.0,13.3,NVIDIA RTX 3060,2.5,Windows 10,1848.05
Acer,Intel i5,32.0,2048.0,15.6,NVIDIA RTX 3060,1.48,DOS,2153.76
Lenovo,Intel i3,32.0,512.0,17.3,NVIDIA RTX 3060,1.92,Windows 10,1898.16
Acer,Intel i5,8.0,2048.0,14.0,NVIDIA GTX 1650,3.26,Linux,1297.39
Samsung,AMD Ryzen 3,64.0,512.0,15.6,NVIDIA RTX 4060,2.55,Windows 11,2475.38
Asus,Apple M2,64.0,1024.0,13.3,Integrated,1.24,Windows 11,2809.68
Asus,Apple M1,16.0,1024.0,13.3,NVIDIA RTX 3050,3.02,macOS,1916.16
MSI,Apple M2,32.0,1024.0,13.3,NVIDIA RTX 3060,1.96,DOS,2666.68
Samsung,AMD Ryzen 5,16.0,1024.0,13.3,NVIDIA RTX 3050,1.48,macOS,1830.33
HP,AMD Ryzen 7,16.0,256.0,15.6,NVIDIA GTX 1650,1.26,DOS,1335.66
Samsung,AMD Ryzen 7,4.0,2048.0,13.3,NVIDIA RTX 3060,3.29,DOS,1797.41
Acer,Intel i9,64.0,2048.0,15.6,NVIDIA RTX 3050,2.8,Linux,3148.36
Acer,Apple M2,64.0,512.0,17.3,NVIDIA RTX 3060,1.7,Linux,3184.63
Lenovo,AMD Ryzen 7,32.0,256.0,15.6,AMD Radeon,1.45,Windows 11,1925.65
Dell,Intel i9,64.0,256.0,15.6,AMD Radeon,2.37,Windows 11,2702.18
Dell,Intel i7,,2048.0,17.3,NVIDIA RTX 3050,1.94,Windows 11,1886.21
Apple,Intel i3,8.0,2048.0,17.3,AMD Radeon,2.8,macOS,1990.64
Dell,Apple M1,4.0,1024.0,13.3,NVIDIA GTX 1650,2.36,DOS,1530.65
Dell,Intel i7,8.0,256.0,17.3,NVIDIA GTX 1650,3.47,Linux,1332.48
Samsung,Intel i3,64.0,2048.0,14.0,AMD Radeon,2.12,Windows 11,2229.74
Lenovo,AMD Ryzen 5,64.0,1024.0,17.3,NVIDIA RTX 3060,2.76,macOS,2740.65
MSI,Intel i7,32.0,2048.0,15.6,NVIDIA RTX 3060,3.36,Windows 10,2646.65
Lenovo,Apple M2,4.0,512.0,15.6,AMD Radeon,2.8,Linux,1719.26
Samsung,Apple M2,32.0,,13.3,NVIDIA GTX 1650,3.49,Linux,2481.8
Samsung,AMD Ryzen 7,4.0,256.0,15.6,NVIDIA RTX 3050,2.87,macOS,1778.73
Apple,Apple M1,4.0,2048.0,17.3,NVIDIA RTX 3050,3.35,Linux,2551.57
Asus,Intel i7,4.0,1024.0,13.3,NVIDIA RTX 4060,1.85,Windows 10,1939.0
Lenovo,Apple M2,,256.0,17.3,,2.34,Linux,1999.53
Samsung,AMD Ryzen 7,16.0,256.0,17.3,Integrated,2.45,macOS,1581.42
MSI,AMD Ryzen 5,,1024.0,14.0,NVIDIA RTX 3050,2.2,DOS,2274.8
Asus,Intel i3,64.0,2048.0,13.3,NVIDIA RTX 3050,2.52,Windows 11,2152.03
Asus,AMD Ryzen 3,16.0,2048.0,13.3,NVIDIA RTX 4060,3.34,Windows 11,2009.18
MSI,Intel i7,32.0,256.0,17.3,NVIDIA RTX 4060,2.09,Windows 11,2374.16
Samsung,Intel i5,4.0,512.0,15.6,AMD Radeon,2.8,Windows 10,1410.51
Apple,AMD Ryzen 7,8.0,1024.0,15.6,NVIDIA GTX 1650,,Windows 11,2124.06
Dell,AMD Ryzen 5,64.0,512.0,15.6,NVIDIA GTX 1650,3.06,Windows 11,2227.39
Asus,AMD Ryzen 7,4.0,2048.0,13.3,NVIDIA RTX 3060,2.69,Linux,1904.92
MSI,Intel i5,8.0,2048.0,15.6,AMD Radeon,1.95,Windows 10,1733.86
Acer,AMD Ryzen 5,8.0,512.0,14.0,Integrated,1.29,macOS,1135.3
Dell,Apple M1,64.0,2048.0,17.3,NVIDIA RTX 3060,2.63,Linux,3219.32
Samsung,Intel i9,16.0,1024.0,17.3,NVIDIA RTX 3060,1.51,Windows 10,2377.33
Apple,Intel i7,4.0,2048.0,15.6,NVIDIA RTX 3050,2.21,Windows 10,1999.48
Acer,AMD Ryzen 7,4.0,2048.0,13.3,Integrated,1.6,Windows 11,1436.45
Samsung,AMD Ryzen 5,4.0,2048.0,13.3,NVIDIA RTX 4060,2.67,DOS,1899.47
MSI,AMD Ryzen 3,64.0,1024.0,15.6,NVIDIA RTX 3060,2.5,macOS,2750.48
Dell,AMD Ryzen 3,4.0,512.0,14.0,AMD Radeon,2.82,Linux,999.92
HP,AMD Ryzen 3,32.0,256.0,14.0,AMD Radeon,2.69,Windows 10,1584.28
Acer,Intel i9,8.0,2048.0,15.6,NVIDIA GTX 1650,2.64,Windows 10,2039.62
Samsung,AMD Ryzen 3,64.0,2048.0,17.3,NVIDIA GTX 1650,1.26,macOS,2653.87
Asus,Intel i5,16.0,2048.0,13.3,Integrated,3.07,macOS,1739.31
Lenovo,Intel i3,4.0,2048.0,14.0,NVIDIA RTX 3050,,DOS,1260.87
Apple,Intel i5,64.0,1024.0,14.0,NVIDIA RTX 3050,1.97,Windows 10,2624.99
HP,Intel i5,16.0,256.0,15.6,NVIDIA RTX 3060,2.79,Windows 10,1692.96
Acer,Apple M1,32.0,256.0,13.3,NVIDIA RTX 4060,,Windows 10,2397.14
Samsung,Intel i7,4.0,1024.0,17.3,NVIDIA RTX 3060,2.06,DOS,1667.61
MSI,AMD Ryzen 7,4.0,1024.0,13.3,AMD Radeon,3.28,Linux,1629.47
Apple,Intel i7,4.0,2048.0,17.3,NVIDIA RTX 4060,,Linux,2440.27
Asus,Intel i9,16.0,512.0,15.6,NVIDIA RTX 4060,1.41,Linux,2234.51
Lenovo,AMD Ryzen 3,32.0,256.0,15.6,Integrated,1.46,DOS,1258.99
MSI,AMD Ryzen 3,16.0,1024.0,13.3,NVIDIA RTX 3050,2.82,Linux,1555.99
HP,Intel i3,64.0,512.0,15.6,AMD Radeon,2.81,Windows 10,2065.21
Lenovo,Intel i5,64.0,256.0,13.3,AMD Radeon,3.47,DOS,1952.54
Asus,Intel i3,4.0,256.0,17.3,NVIDIA RTX 3060,2.07,macOS,1614.17
Apple,AMD Ryzen 7,16.0,512.0,14.0,NVIDIA RTX 3050,,macOS,2088.58
HP,Intel i9,32.0,2048.0,13.3,Integrated,2.91,macOS,2372.1
Apple,Apple M2,32.0,256.0,13.3,,1.71,Windows 10,2223.95
Samsung,AMD Ryzen 3,64.0,1024.0,17.3,NVIDIA RTX 4060,1.78,macOS,3062.37
HP,Apple M2,4.0,512.0,15.6,Integrated,2.64,macOS,1975.53
Dell,Apple M1,32.0,2048.0,17.3,NVIDIA RTX 4060,1.84,Linux,2813.47
Samsung,Intel i5,32.0,2048.0,13.3,Integrated,1.8,macOS,1978.63
Dell,Apple M2,4.0,256.0,17.3,NVIDIA RTX 4060,2.77,DOS,2033.41
Lenovo,AMD Ryzen 5,8.0,1024.0,17.3,NVIDIA RTX 4060,2.61,Windows 10,1713.58
Apple,Intel i5,16.0,256.0,13.3,Integrated,2.99,Windows 10,1782.71
Dell,AMD Ryzen 3,8.0,1024.0,13.3,AMD Radeon,3.11,Windows 11,1419.57
HP,Apple M2,16.0,1024.0,13.3,NVIDIA RTX 4060,1.33,Linux,2592.27
MSI,AMD Ryzen 3,16.0,256.0,15.6,NVIDIA RTX 4060,2.87,Windows 10,1990.5
Dell,AMD Ryzen 3,4.0,512.0,13.3,NVIDIA RTX 3050,1.83,Linux,1080.78
Dell,Apple M1,8.0,2048.0,15.6,NVIDIA GTX 1650,2.35,macOS,2097.63
Asus,Intel i3,32.0,256.0,14.0,AMD Radeon,3.02,Windows 11,1467.5
MSI,AMD Ryzen 7,64.0,,14.0,NVIDIA GTX 1650,3.05,Linux,2497.34
HP,Intel i5,8.0,512.0,15.6,NVIDIA RTX 3050,1.41,Windows 10,1375.74
Apple,Intel i3,32.0,512.0,15.6,,3.18,DOS,1979.61
HP,Apple M1,4.0,,13.3,NVIDIA RTX 3060,1.35,DOS,1899.16
Acer,Intel i5,64.0,512.0,15.6,NVIDIA RTX 3050,1.75,macOS,2386.45
MSI,AMD Ryzen 7,16.0,512.0,17.3,NVIDIA RTX 3060,1.62,Windows 11,2172.53
Lenovo,Intel i5,64.0,512.0,15.6,NVIDIA RTX 3050,3.09,Windows 10,2168.33
Acer,AMD Ryzen 5,64.0,512.0,13.3,NVIDIA RTX 4060,2.26,Windows 10,2732.49
Dell,Apple M2,8.0,256.0,15.6,Integrated,2.78,macOS,2027.84
Acer,Intel i3,8.0,2048.0,13.3,Integrated,2.57,Linux,1095.58
MSI,Apple M1,8.0,2048.0,15.6,AMD Radeon,2.26,DOS,1815.08
Lenovo,Apple M1,16.0,1024.0,15.6,AMD Radeon,2.92,Linux,1746.67
HP,AMD Ryzen 5,16.0,1024.0,15.6,Integrated,2.9,Linux,1144.12
