area_sqft,bedrooms,bathrooms,locality,age_years,furnishing,distance_to_city_km,price_lakhs
2034.0,1,1.0,Suburb,23.0,Semi-Furnished,15.3,78.12
905.0,4,2.0,Rural,21.0,Furnished,18.5,59.34
2253.0,3,2.0,Suburb,4.0,Unfurnished,6.9,123.83
619.0,1,2.0,Suburb,32.0,Unfurnished,12.6,30.26
1339.0,4,1.0,Downtown,35.0,Furnished,1.5,84.26
1635.0,4,3.0,Downtown,19.0,Semi-Furnished,4.5,113.14
1512.0,1,4.0,Downtown,18.0,Unfurnished,17.3,90.2
1151.0,2,2.0,Rural,34.0,Semi-Furnished,6.3,47.43
1317.0,4,3.0,Suburb,16.0,Semi-Furnished,7.0,90.26
1203.0,3,4.0,Suburb,33.0,Furnished,12.0,62.21
1164.0,2,3.0,Downtown,8.0,Furnished,16.2,94.88
1740.0,2,1.0,Rural,25.0,Unfurnished,5.6,76.48
1543.0,2,2.0,Rural,1.0,Unfurnished,0.5,86.84
1123.0,3,2.0,Downtown,8.0,Semi-Furnished,6.8,86.18
1760.0,3,2.0,Downtown,8.0,Semi-Furnished,19.2,110.98
1523.0,2,,Downtown,39.0,Semi-Furnished,14.1,80.11
1725.0,3,4.0,Downtown,16.0,Unfurnished,19.9,94.2
1652.0,3,,Suburb,0.0,Unfurnished,5.2,106.88
1068.0,1,2.0,Suburb,24.0,Unfurnished,2.2,51.96
1176.0,2,1.0,Downtown,39.0,Unfurnished,14.8,62.05
1699.0,3,4.0,Suburb,24.0,Semi-Furnished,13.4,78.93
1644.0,4,3.0,Downtown,38.0,Furnished,13.8,103.55
1392.0,3,1.0,Downtown,34.0,Furnished,17.6,72.23
1447.0,3,4.0,Suburb,2.0,Unfurnished,14.5,91.23
1911.0,2,3.0,Suburb,36.0,Semi-Furnished,14.4,88.12
1163.0,3,2.0,Rural,29.0,Furnished,16.3,50.37
1619.0,3,2.0,Downtown,37.0,Furnished,15.0,97.5
1319.0,2,2.0,Suburb,33.0,Semi-Furnished,17.1,48.4
1313.0,2,1.0,Suburb,11.0,Furnished,,75.65
1840.0,2,2.0,Downtown,18.0,Furnished,21.2,99.79
1730.0,1,3.0,Suburb,36.0,Semi-Furnished,8.1,68.43
1725.0,2,1.0,Downtown,16.0,Semi-Furnished,14.9,96.47
1922.0,2,2.0,Downtown,9.0,Semi-Furnished,9.8,105.68
1408.0,2,2.0,Rural,11.0,Furnished,,76.69
1673.0,2,2.0,Rural,15.0,Unfurnished,7.9,74.41
1276.0,4,4.0,Rural,23.0,Furnished,15.0,79.02
1530.0,3,2.0,Downtown,18.0,Semi-Furnished,14.5,100.34
1348.0,3,2.0,Downtown,7.0,Unfurnished,14.4,82.59
1439.0,4,3.0,Suburb,30.0,Semi-Furnished,10.6,76.24
1638.0,3,2.0,Suburb,20.0,Unfurnished,12.0,86.23
1073.0,1,1.0,Downtown,16.0,Semi-Furnished,16.9,67.25
2237.0,3,2.0,Suburb,22.0,Semi-Furnished,3.1,127.32
998.0,3,1.0,Downtown,36.0,Furnished,12.1,71.92
914.0,3,1.0,Rural,15.0,Semi-Furnished,12.5,43.59
1863.0,3,2.0,Downtown,5.0,Furnished,16.5,123.81
1717.0,2,2.0,Suburb,7.0,Furnished,3.9,111.74
1650.0,2,4.0,Downtown,24.0,Unfurnished,21.0,88.23
1651.0,2,2.0,Suburb,17.0,Semi-Furnished,13.3,85.73
1395.0,3,2.0,Suburb,24.0,Unfurnished,13.6,66.53
1041.0,3,2.0,Downtown,11.0,Semi-Furnished,9.6,79.26
1430.0,2,,Rural,14.0,Unfurnished,15.2,57.08
1129.0,5,3.0,Rural,25.0,Semi-Furnished,12.3,59.84
1790.0,3,1.0,Rural,25.0,Semi-Furnished,,71.32
1341.0,2,4.0,Rural,31.0,Semi-Furnished,3.4,58.82
1070.0,2,1.0,Suburb,9.0,Furnished,13.1,62.13
1271.0,2,2.0,Rural,15.0,Unfurnished,14.5,55.29
1565.0,2,1.0,Downtown,6.0,Furnished,10.9,100.57
1175.0,2,4.0,Downtown,16.0,Furnished,9.6,90.65
1071.0,2,2.0,Downtown,22.0,Semi-Furnished,9.8,72.99
1497.0,2,2.0,Downtown,25.0,Furnished,13.0,93.68
1498.0,2,1.0,Suburb,20.0,Unfurnished,1.1,76.73
1197.0,4,3.0,Downtown,21.0,Unfurnished,17.8,87.54
1212.0,1,1.0,Rural,6.0,Unfurnished,9.1,39.05
1493.0,3,3.0,Suburb,13.0,Semi-Furnished,12.8,104.77
821.0,3,1.0,Downtown,14.0,Furnished,14.2,62.96
837.0,5,1.0,Suburb,6.0,Unfurnished,8.8,67.45
1113.0,2,,Downtown,8.0,Semi-Furnished,11.2,72.69
1315.0,2,2.0,Rural,7.0,Unfurnished,0.5,74.44
1524.0,5,,Downtown,22.0,Unfurnished,16.4,99.92
1990.0,4,1.0,Rural,28.0,Unfurnished,18.5,77.05
1743.0,4,3.0,Rural,17.0,Furnished,1.8,110.23
1336.0,2,2.0,Downtown,30.0,Semi-Furnished,9.6,78.46
1392.0,2,2.0,Downtown,29.0,Unfurnished,4.6,85.84
999.0,3,2.0,Rural,38.0,Semi-Furnished,,32.93
1393.0,4,2.0,Suburb,34.0,Furnished,,73.38
1285.0,3,2.0,Suburb,17.0,Semi-Furnished,17.9,80.33
1529.0,3,1.0,Rural,38.0,Unfurnished,18.7,54.82
1069.0,2,1.0,Downtown,16.0,Semi-Furnished,19.9,66.43
1608.0,4,3.0,Suburb,13.0,Semi-Furnished,10.7,96.31
2013.0,2,4.0,Downtown,30.0,Furnished,5.1,123.91
1356.0,2,2.0,Rural,23.0,Semi-Furnished,11.3,59.37
1561.0,3,2.0,Suburb,34.0,Unfurnished,,70.9
