date,weekday,flavor
01-01-2024,Monday,Orange
02-01-2024,Tuesday,Strawberry
03-01-2024,Wednesday,Grape
04-01-2024,Thursday,Apple
05-01-2024,Friday,Strawberry
06-01-2024,Saturday,Strawberry
07-01-2024,Sunday,Strawberry
08-01-2024,Monday,Strawberry
09-01-2024,Tuesday,Grape
10-01-2024,Wednesday,Grape
11-01-2024,Thursday,Orange
12-01-2024,Friday,Orange
13-01-2024,Saturday,Grape
14-01-2024,Sunday,Pineapple
15-01-2024,Monday,Orange
16-01-2024,Tuesday,Strawberry
17-01-2024,Wednesday,Grape
18-01-2024,Thursday,Pineapple
19-01-2024,Friday,Mango
20-01-2024,Saturday,Strawberry
21-01-2024,Sunday,Orange
22-01-2024,Monday,Orange
23-01-2024,Tuesday,Mango
24-01-2024,Wednesday,Grape
25-01-2024,Thursday,Pineapple
26-01-2024,Friday,Orange
27-01-2024,Saturday,Grape
28-01-2024,Sunday,Apple
29-01-2024,Monday,Orange
30-01-2024,Tuesday,Orange
31-01-2024,Wednesday,Grape
01-02-2024,Thursday,Orange
02-02-2024,Friday,Grape
03-02-2024,Saturday,Grape
04-02-2024,Sunday,Apple
05-02-2024,Monday,Orange
06-02-2024,Tuesday,Grape
07-02-2024,Wednesday,Orange
08-02-2024,Thursday,Mango
09-02-2024,Friday,Orange
10-02-2024,Saturday,Grape
11-02-2024,Sunday,Grape
12-02-2024,Monday,Orange
13-02-2024,Tuesday,Orange
14-02-2024,Wednesday,Grape
15-02-2024,Thursday,Mango
16-02-2024,Friday,Orange
17-02-2024,Saturday,Orange
18-02-2024,Sunday,Grape
19-02-2024,Monday,Mango
20-02-2024,Tuesday,Pineapple
21-02-2024,Wednesday,Grape
22-02-2024,Thursday,Strawberry
23-02-2024,Friday,Orange
24-02-2024,Saturday,Grape
25-02-2024,Sunday,Strawberry
26-02-2024,Monday,Orange
27-02-2024,Tuesday,Strawberry
28-02-2024,Wednesday,Grape
29-02-2024,Thursday,Orange
01-03-2024,Friday,Orange
02-03-2024,Saturday,Pineapple
03-03-2024,Sunday,Mango
04-03-2024,Monday,Strawberry
05-03-2024,Tuesday,Apple
06-03-2024,Wednesday,Mango
07-03-2024,Thursday,Apple
08-03-2024,Friday,Strawberry
09-03-2024,Saturday,Apple
10-03-2024,Sunday,Pineapple
11-03-2024,Monday,Orange
12-03-2024,Tuesday,Grape
13-03-2024,Wednesday,Orange
14-03-2024,Thursday,Mango
15-03-2024,Friday,Orange
16-03-2024,Saturday,Apple
17-03-2024,Sunday,Pineapple
18-03-2024,Monday,Orange
19-03-2024,Tuesday,Grape
20-03-2024,Wednesday,Grape
21-03-2024,Thursday,Pineapple
22-03-2024,Friday,Orange
23-03-2024,Saturday,Orange
24-03-2024,Sunday,Mango
25-03-2024,Monday,Orange
26-03-2024,Tuesday,Grape
27-03-2024,Wednesday,Grape
28-03-2024,Thursday,Mango
29-03-2024,Friday,Orange
30-03-2024,Saturday,Orange
31-03-2024,Sunday,Pineapple
01-04-2024,Monday,Orange
02-04-2024,Tuesday,Grape
03-04-2024,Wednesday,Grape
04-04-2024,Thursday,Strawberry
05-04-2024,Friday,Orange
06-04-2024,Saturday,Grape
07-04-2024,Sunday,Grape
08-04-2024,Monday,Orange
09-04-2024,Tuesday,Mango
10-04-2024,Wednesday,Grape
11-04-2024,Thursday,Orange
12-04-2024,Friday,Strawberry
13-04-2024,Saturday,Grape
14-04-2024,Sunday,Orange
15-04-2024,Monday,Orange
16-04-2024,Tuesday,Mango
17-04-2024,Wednesday,Grape
18-04-2024,Thursday,Pineapple
19-04-2024,Friday,Pineapple
20-04-2024,Saturday,Orange
21-04-2024,Sunday,Grape
22-04-2024,Monday,Orange
23-04-2024,Tuesday,Apple
24-04-2024,Wednesday,Grape
25-04-2024,Thursday,Grape
26-04-2024,Friday,Orange
27-04-2024,Saturday,Orange
28-04-2024,Sunday,Mango
29-04-2024,Monday,Orange
30-04-2024,Tuesday,Mango
01-05-2024,Wednesday,Grape
02-05-2024,Thursday,Pineapple
03-05-2024,Friday,Orange
04-05-2024,Saturday,Apple
05-05-2024,Sunday,Apple
06-05-2024,Monday,Orange
07-05-2024,Tuesday,Apple
08-05-2024,Wednesday,Grape
09-05-2024,Thursday,Apple
10-05-2024,Friday,Mango
11-05-2024,Saturday,Strawberry
12-05-2024,Sunday,Pineapple
13-05-2024,Monday,Orange
14-05-2024,Tuesday,Pineapple
15-05-2024,Wednesday,Grape
16-05-2024,Thursday,Apple
17-05-2024,Friday,Orange
18-05-2024,Saturday,Pineapple
19-05-2024,Sunday,Strawberry
20-05-2024,Monday,Orange
21-05-2024,Tuesday,Grape
22-05-2024,Wednesday,Grape
23-05-2024,Thursday,Pineapple
24-05-2024,Friday,Orange
25-05-2024,Saturday,Pineapple
26-05-2024,Sunday,Orange
27-05-2024,Monday,Orange
28-05-2024,Tuesday,Grape
29-05-2024,Wednesday,Grape
