Age,Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Approved
32,Male,Yes,Graduate,No,5323,2788,72,300,1,Urban,Y
54,Male,Yes,Not Graduate,No,4653,1008,121,360,0,Semiurban,N
57,Female,Yes,Not Graduate,No,4271,449,225,360,1,Rural,N
58,Male,Yes,Graduate,No,6861,2762,178,360,1,Urban,Y
35,Male,No,Graduate,No,6938,1595,239,120,1,Semiurban,Y
43,Male,Yes,Graduate,No,3482,0,157,360,0,Semiurban,N
44,Male,Yes,Graduate,No,4800,562,93,120,0,Urban,N
55,Female,Yes,Not Graduate,No,6160,1680,162,300,1,Semiurban,Y
51,Male,Yes,Graduate,No,5674,260,127,120,1,Semiurban,Y
38,Male,Yes,Not Graduate,No,7633,5167,152,360,1,Semiurban,Y
56,Male,No,Not Graduate,No,5917,200,207,360,1,Rural,Y
53,Female,Yes,Not Graduate,No,8464,1267,265,240,0,Semiurban,N
31,Male,Yes,Graduate,No,4112,1729,156,360,1,Rural,N
27,Male,Yes,Graduate,No,6714,1777,112,180,1,Rural,Y
29,Male,No,Not Graduate,No,4908,192,171,180,1,Urban,N
36,Female,No,Graduate,Yes,3568,813,156,360,0,Urban,N
59,Female,No,Not Graduate,No,1500,1906,135,240,1,Semiurban,Y
25,Female,No,Graduate,No,4817,2404,115,180,1,Urban,Y
37,Female,Yes,Graduate,No,5557,2429,119,360,1,Urban,N
27,Male,Yes,Graduate,No,6383,1620,119,360,1,Semiurban,Y
57,Male,Yes,Graduate,No,7990,1170,73,360,1,Urban,N
25,Female,Yes,Not Graduate,Yes,6205,1726,175,360,1,Semiurban,Y
33,Male,Yes,Not Graduate,Yes,4831,1015,160,300,1,Urban,Y
50,Female,Yes,Graduate,No,3452,0,148,300,1,Semiurban,Y
25,Female,Yes,Graduate,No,4404,0,30,360,0,Urban,N
58,Female,No,Graduate,No,6114,2324,125,360,1,Urban,Y
