date,day_of_week,genre_watched
01-01-2025,Wednesday,Action
02-01-2025,Thursday,Horror
03-01-2025,Friday,Comedy
04-01-2025,Saturday,Horror
05-01-2025,Sunday,Horror
06-01-2025,Monday,Comedy
07-01-2025,Tuesday,Comedy
08-01-2025,Wednesday,Action
09-01-2025,Thursday,Action
10-01-2025,Friday,Comedy
11-01-2025,Saturday,Drama
12-01-2025,Sunday,Drama
13-01-2025,Monday,Action
14-01-2025,Tuesday,Action
15-01-2025,Wednesday,Comedy
16-01-2025,Thursday,Horror
17-01-2025,Friday,Action
18-01-2025,Saturday,Comedy
19-01-2025,Sunday,Horror
20-01-2025,Monday,Action
21-01-2025,Tuesday,Drama
22-01-2025,Wednesday,Horror
23-01-2025,Thursday,Action
24-01-2025,Friday,Drama
25-01-2025,Saturday,Horror
26-01-2025,Sunday,Action
27-01-2025,Monday,Comedy
28-01-2025,Tuesday,Drama
29-01-2025,Wednesday,Drama
30-01-2025,Thursday,Comedy
31-01-2025,Friday,Action
01-02-2025,Saturday,Comedy
02-02-2025,Sunday,Comedy
03-02-2025,Monday,Comedy
04-02-2025,Tuesday,Comedy
05-02-2025,Wednesday,Drama
06-02-2025,Thursday,Horror
07-02-2025,Friday,Action
08-02-2025,Saturday,Comedy
09-02-2025,Sunday,Comedy
10-02-2025,Monday,Comedy
11-02-2025,Tuesday,Comedy
12-02-2025,Wednesday,Drama
13-02-2025,Thursday,Comedy
14-02-2025,Friday,Comedy
15-02-2025,Saturday,Horror
16-02-2025,Sunday,Comedy
17-02-2025,Monday,Horror
18-02-2025,Tuesday,Action
19-02-2025,Wednesday,Drama
20-02-2025,Thursday,Comedy
21-02-2025,Friday,Comedy
22-02-2025,Saturday,Drama
23-02-2025,Sunday,Drama
24-02-2025,Monday,Comedy
25-02-2025,Tuesday,Action
26-02-2025,Wednesday,Action
27-02-2025,Thursday,Horror
28-02-2025,Friday,Drama
01-03-2025,Saturday,Drama
02-03-2025,Sunday,Horror
03-03-2025,Monday,Drama
04-03-2025,Tuesday,Action
05-03-2025,Wednesday,Comedy
06-03-2025,Thursday,Drama
07-03-2025,Friday,Action
08-03-2025,Saturday,Horror
09-03-2025,Sunday,Horror
10-03-2025,Monday,Drama
11-03-2025,Tuesday,Comedy
12-03-2025,Wednesday,Drama
13-03-2025,Thursday,Action
14-03-2025,Friday,Action
15-03-2025,Saturday,Comedy
16-03-2025,Sunday,Drama
17-03-2025,Monday,Comedy
18-03-2025,Tuesday,Action
19-03-2025,Wednesday,Comedy
20-03-2025,Thursday,Comedy
21-03-2025,Friday,Action
22-03-2025,Saturday,Action
23-03-2025,Sunday,Comedy
24-03-2025,Monday,Comedy
25-03-2025,Tuesday,Drama
26-03-2025,Wednesday,Drama
27-03-2025,Thursday,Drama
28-03-2025,Friday,Comedy
29-03-2025,Saturday,Horror
30-03-2025,Sunday,Drama
31-03-2025,Monday,Drama
01-04-2025,Tuesday,Horror
02-04-2025,Wednesday,Horror
03-04-2025,Thursday,Action
04-04-2025,Friday,Horror
05-04-2025,Saturday,Action
06-04-2025,Sunday,Comedy
07-04-2025,Monday,Drama
08-04-2025,Tuesday,Drama
09-04-2025,Wednesday,Action
10-04-2025,Thursday,Drama
11-04-2025,Friday,Action
12-04-2025,Saturday,Action
13-04-2025,Sunday,Drama
14-04-2025,Monday,Comedy
15-04-2025,Tuesday,Comedy
16-04-2025,Wednesday,Drama
17-04-2025,Thursday,Horror
18-04-2025,Friday,Horror
19-04-2025,Saturday,Action
20-04-2025,Sunday,Comedy
21-04-2025,Monday,Comedy
22-04-2025,Tuesday,Action
23-04-2025,Wednesday,Drama
24-04-2025,Thursday,Drama
25-04-2025,Friday,Horror
26-04-2025,Saturday,Horror
27-04-2025,Sunday,Action
28-04-2025,Monday,Action
29-04-2025,Tuesday,Drama
30-04-2025,Wednesday,Action
01-05-2025,Thursday,Action
02-05-2025,Friday,Drama
03-05-2025,Saturday,Action
04-05-2025,Sunday,Drama
05-05-2025,Monday,Drama
06-05-2025,Tuesday,Action
07-05-2025,Wednesday,Drama
08-05-2025,Thursday,Horror
09-05-2025,Friday,Horror
10-05-2025,Saturday,Action
11-05-2025,Sunday,Comedy
12-05-2025,Monday,Drama
13-05-2025,Tuesday,Horror
14-05-2025,Wednesday,Action
15-05-2025,Thursday,Comedy
16-05-2025,Friday,Horror
17-05-2025,Saturday,Horror
18-05-2025,Sunday,Comedy
19-05-2025,Monday,Drama
20-05-2025,Tuesday,Horror
21-05-2025,Wednesday,Drama
22-05-2025,Thursday,Action
23-05-2025,Friday,Action
24-05-2025,Saturday,Action
25-05-2025,Sunday,Drama
26-05-2025,Monday,Action
27-05-2025,Tuesday,Action
28-05-2025,Wednesday,Comedy
29-05-2025,Thursday,Action
30-05-2025,Friday,
