EmployeeID,Age,Department,Education,YearsAtCompany,DistanceFromHome_km,MonthlyWorkingHours,PerformanceRating,Salary,Attrition
1001,25.0,Sales,High School,0.0,42.0,165.0,4.0,35400.0,Yes
1002,50.0,Finance,Bachelors,1.0,45.0,205.0,3.0,47800.0,Yes
1003,46.0,IT,High School,5.0,44.0,176.0,5.0,53100.0,No
1004,38.0,IT,Bachelors,22.0,26.0,199.0,3.0,64900.0,No
1005,38.0,IT,Masters,11.0,10.0,164.0,1.0,54400.0,Yes
1006,53.0,HR,Bachelors,18.0,38.0,152.0,1.0,62600.0,No
1007,25.0,IT,Bachelors,10.0,37.0,153.0,5.0,49900.0,No
1008,47.0,Sales,Bachelors,4.0,45.0,172.0,5.0,51500.0,No
1009,29.0,Sales,Masters,9.0,30.0,207.0,4.0,50300.0,Yes
1010,25.0,Marketing,Masters,2.0,7.0,152.0,1.0,41400.0,Yes
1011,41.0,Marketing,High School,20.0,23.0,172.0,2.0,54900.0,No
1012,58.0,Finance,Bachelors,4.0,21.0,156.0,1.0,48000.0,Yes
1013,49.0,IT,Bachelors,9.0,38.0,205.0,1.0,53700.0,Yes
1014,50.0,Marketing,Bachelors,25.0,18.0,190.0,2.0,69400.0,No
1015,48.0,Finance,Bachelors,15.0,,195.0,3.0,55400.0,No
1016,51.0,Finance,Bachelors,11.0,4.0,192.0,1.0,54600.0,No
1017,40.0,IT,High School,14.0,38.0,189.0,5.0,57100.0,Yes
1018,26.0,IT,Bachelors,20.0,34.0,196.0,3.0,59300.0,No
1019,53.0,Sales,Bachelors,6.0,2.0,150.0,2.0,54900.0,No
1020,38.0,Marketing,High School,16.0,,201.0,3.0,53400.0,No
1021,40.0,IT,Masters,22.0,22.0,194.0,4.0,66500.0,No
1022,35.0,Sales,High School,14.0,22.0,194.0,2.0,46500.0,No
1023,28.0,IT,PhD,11.0,42.0,173.0,1.0,55800.0,Yes
1024,56.0,HR,High School,3.0,7.0,198.0,1.0,46400.0,Yes
1025,50.0,Sales,Masters,6.0,14.0,172.0,,62100.0,No
1026,45.0,Marketing,PhD,24.0,9.0,152.0,1.0,75300.0,No
1027,36.0,Finance,PhD,14.0,11.0,204.0,4.0,63700.0,No
1028,52.0,Finance,Masters,7.0,,164.0,2.0,53800.0,Yes
1029,42.0,IT,Masters,10.0,43.0,156.0,4.0,57700.0,No
1030,38.0,HR,Masters,15.0,,187.0,1.0,58500.0,No
1031,38.0,HR,Masters,13.0,29.0,164.0,5.0,60500.0,No
1032,30.0,HR,High School,18.0,11.0,201.0,4.0,52100.0,Yes
1033,25.0,Sales,Bachelors,6.0,9.0,176.0,3.0,44400.0,Yes
1034,42.0,IT,Bachelors,16.0,14.0,150.0,2.0,56200.0,Yes
1035,54.0,Sales,Masters,11.0,9.0,207.0,5.0,512500.0,No
1036,24.0,IT,Bachelors,24.0,23.0,180.0,2.0,59200.0,Yes
1037,53.0,IT,Bachelors,4.0,45.0,165.0,3.0,50700.0,Yes
1038,52.0,Sales,Masters,3.0,27.0,190.0,2.0,53900.0,Yes
1039,,Sales,Bachelors,12.0,33.0,181.0,2.0,51100.0,Yes
1040,45.0,HR,High School,13.0,23.0,151.0,3.0,50200.0,Yes
1041,28.0,Sales,Bachelors,17.0,1.0,195.0,1.0,51100.0,No
1042,50.0,Marketing,Bachelors,10.0,4.0,174.0,1.0,57300.0,No
1043,47.0,HR,Bachelors,23.0,13.0,191.0,2.0,62600.0,No
1044,35.0,IT,Bachelors,12.0,11.0,203.0,1.0,45000.0,Yes
1045,24.0,HR,Bachelors,3.0,38.0,186.0,3.0,36000.0,Yes
1046,57.0,Sales,Bachelors,3.0,38.0,190.0,5.0,54700.0,No
1047,38.0,Marketing,Bachelors,25.0,39.0,165.0,1.0,63100.0,Yes
1048,55.0,IT,Masters,3.0,29.0,164.0,1.0,52900.0,Yes
1049,47.0,Finance,Bachelors,24.0,26.0,174.0,1.0,68300.0,Yes
1050,50.0,Sales,PhD,7.0,30.0,201.0,3.0,54700.0,Yes
1051,50.0,IT,PhD,2.0,19.0,181.0,2.0,56700.0,No
1052,29.0,IT,Bachelors,7.0,31.0,170.0,3.0,50000.0,Yes
1053,35.0,Marketing,Bachelors,15.0,36.0,196.0,1.0,50100.0,Yes
1054,,HR,Bachelors,11.0,35.0,201.0,2.0,51000.0,No
1055,40.0,IT,Masters,20.0,28.0,204.0,3.0,63700.0,No
1056,23.0,IT,Masters,15.0,3.0,167.0,3.0,52900.0,No
1057,42.0,IT,Masters,10.0,33.0,192.0,3.0,56500.0,Yes
1058,27.0,HR,Bachelors,16.0,17.0,185.0,4.0,58200.0,No
1059,49.0,IT,Masters,25.0,,176.0,3.0,77800.0,No
1060,47.0,Sales,Bachelors,10.0,25.0,173.0,5.0,56600.0,No
1061,56.0,Marketing,Masters,3.0,40.0,156.0,3.0,60700.0,Yes
1062,49.0,Marketing,Bachelors,10.0,16.0,166.0,2.0,54600.0,No
1063,35.0,Sales,Masters,21.0,42.0,182.0,2.0,67900.0,Yes
1064,57.0,HR,Masters,5.0,39.0,203.0,2.0,56600.0,Yes
1065,,Sales,High School,24.0,15.0,201.0,3.0,60500.0,No
1066,34.0,Finance,Masters,15.0,22.0,161.0,2.0,58700.0,No
1067,55.0,IT,High School,15.0,24.0,190.0,5.0,68700.0,No
1068,35.0,Finance,Masters,8.0,35.0,155.0,3.0,55200.0,Yes
1069,24.0,Finance,High School,23.0,32.0,190.0,5.0,55300.0,No
1070,39.0,Finance,PhD,0.0,39.0,170.0,4.0,54900.0,Yes
1071,51.0,Sales,High School,7.0,17.0,176.0,2.0,47600.0,Yes
1072,29.0,Marketing,PhD,10.0,23.0,193.0,2.0,54300.0,Yes
1073,,Sales,Masters,12.0,20.0,175.0,4.0,61500.0,No
1074,26.0,Sales,Bachelors,12.0,41.0,198.0,2.0,48400.0,Yes
1075,47.0,HR,Masters,3.0,14.0,182.0,2.0,52200.0,No
1076,39.0,IT,Masters,5.0,27.0,209.0,5.0,54200.0,No
1077,34.0,Marketing,PhD,2.0,6.0,188.0,3.0,52100.0,Yes
1078,30.0,Marketing,Bachelors,14.0,39.0,167.0,1.0,51400.0,Yes
1079,42.0,IT,Bachelors,9.0,18.0,196.0,3.0,47600.0,Yes
1080,46.0,Marketing,High School,14.0,16.0,174.0,3.0,56000.0,No
1081,,IT,Masters,15.0,27.0,182.0,5.0,66600.0,No
1082,38.0,HR,Bachelors,18.0,23.0,158.0,4.0,480000.0,Yes
1083,27.0,IT,Bachelors,14.0,39.0,157.0,1.0,49100.0,Yes
1084,52.0,Marketing,Bachelors,16.0,24.0,184.0,1.0,60000.0,Yes
1085,45.0,Sales,Bachelors,15.0,24.0,161.0,4.0,58300.0,No
1086,47.0,Sales,Bachelors,16.0,5.0,209.0,1.0,60100.0,No
1087,25.0,IT,Masters,16.0,1.0,201.0,2.0,52200.0,No
1088,33.0,Marketing,Masters,8.0,18.0,192.0,1.0,48900.0,Yes
1089,50.0,Marketing,Bachelors,6.0,45.0,194.0,1.0,48600.0,Yes
1090,52.0,Finance,Bachelors,20.0,42.0,185.0,5.0,68100.0,No
1091,38.0,Marketing,PhD,8.0,29.0,153.0,1.0,56400.0,No
1092,51.0,Marketing,High School,14.0,29.0,173.0,1.0,51100.0,Yes
1093,53.0,HR,High School,5.0,18.0,179.0,5.0,52900.0,No
1094,36.0,IT,High School,11.0,8.0,204.0,1.0,45900.0,Yes
1095,55.0,Finance,Masters,13.0,1.0,163.0,5.0,62200.0,No
1096,32.0,Finance,Bachelors,16.0,16.0,179.0,1.0,47900.0,Yes
1097,30.0,IT,Masters,13.0,15.0,170.0,1.0,53400.0,Yes
1098,47.0,Sales,Masters,9.0,9.0,158.0,1.0,55200.0,Yes
1099,45.0,Finance,Bachelors,25.0,12.0,156.0,4.0,68800.0,No
1100,27.0,IT,Masters,13.0,2.0,171.0,4.0,55900.0,No
1101,52.0,Marketing,Masters,21.0,28.0,154.0,3.0,71300.0,No
1102,29.0,Sales,Bachelors,19.0,42.0,154.0,2.0,58000.0,Yes
1103,51.0,Sales,Bachelors,14.0,32.0,171.0,1.0,54900.0,Yes
1104,22.0,Marketing,Bachelors,23.0,21.0,162.0,3.0,55100.0,Yes
1105,51.0,Sales,Bachelors,3.0,19.0,183.0,2.0,46200.0,No
1106,51.0,Sales,High School,23.0,14.0,151.0,3.0,64900.0,No
1107,50.0,HR,PhD,22.0,7.0,168.0,4.0,79200.0,No
1108,46.0,Marketing,Bachelors,13.0,27.0,177.0,5.0,58700.0,No
1109,39.0,Sales,Bachelors,19.0,26.0,207.0,3.0,54100.0,Yes
1110,48.0,IT,Masters,13.0,1.0,188.0,1.0,55400.0,No
1111,32.0,Finance,Bachelors,6.0,19.0,202.0,2.0,42900.0,Yes
1112,50.0,Marketing,PhD,20.0,13.0,170.0,5.0,74100.0,No
1113,42.0,HR,Masters,6.0,8.0,176.0,3.0,52700.0,No
1114,38.0,Sales,Bachelors,8.0,32.0,175.0,4.0,51400.0,No
1115,40.0,Sales,Bachelors,13.0,24.0,203.0,3.0,54500.0,No
1116,43.0,Sales,PhD,21.0,29.0,207.0,1.0,71800.0,Yes
1117,23.0,Sales,Masters,9.0,33.0,207.0,5.0,50500.0,Yes
1118,27.0,Finance,PhD,12.0,45.0,195.0,,56900.0,Yes
1119,31.0,Sales,High School,1.0,37.0,180.0,5.0,40900.0,No
1120,26.0,HR,Masters,3.0,28.0,182.0,5.0,44000.0,Yes
1121,38.0,Finance,Masters,1.0,40.0,208.0,2.0,47600.0,Yes
1122,46.0,HR,High School,1.0,22.0,167.0,,41700.0,Yes
1123,,Sales,Bachelors,22.0,45.0,170.0,2.0,63900.0,Yes
1124,39.0,Marketing,Masters,21.0,35.0,203.0,5.0,72500.0,No
1125,53.0,Finance,High School,21.0,30.0,173.0,3.0,61500.0,No
1126,42.0,Finance,Bachelors,1.0,41.0,164.0,3.0,50400.0,Yes
1127,24.0,Sales,Masters,2.0,24.0,183.0,5.0,45600.0,No
1128,50.0,Sales,Bachelors,7.0,33.0,169.0,4.0,51400.0,No
1129,43.0,Marketing,Bachelors,14.0,13.0,203.0,5.0,59800.0,No
1130,45.0,IT,Bachelors,8.0,44.0,204.0,5.0,52300.0,No
1131,42.0,IT,Bachelors,12.0,29.0,168.0,1.0,50800.0,Yes
1132,42.0,IT,PhD,4.0,36.0,181.0,2.0,55700.0,Yes
1133,25.0,Finance,Masters,19.0,,209.0,4.0,62000.0,No
1134,42.0,Marketing,High School,8.0,40.0,194.0,5.0,48300.0,Yes
1135,51.0,IT,PhD,1.0,4.0,162.0,1.0,56400.0,No
1136,33.0,Marketing,Masters,19.0,6.0,185.0,2.0,63900.0,Yes
1137,44.0,Sales,Bachelors,23.0,23.0,187.0,3.0,69300.0,Yes
1138,23.0,HR,Masters,0.0,33.0,189.0,4.0,44200.0,Yes
1139,34.0,HR,High School,11.0,37.0,151.0,1.0,48400.0,Yes
1140,38.0,Sales,PhD,21.0,20.0,167.0,4.0,66300.0,No
1141,58.0,Sales,Masters,18.0,30.0,201.0,2.0,68100.0,Yes
1142,29.0,IT,Masters,22.0,25.0,164.0,2.0,60200.0,Yes
1143,32.0,Marketing,High School,10.0,44.0,167.0,3.0,46100.0,Yes
1144,37.0,HR,Masters,9.0,30.0,169.0,3.0,53200.0,Yes
1145,58.0,Marketing,High School,18.0,19.0,160.0,4.0,62900.0,No
1146,53.0,Marketing,Bachelors,3.0,44.0,159.0,2.0,54400.0,Yes
1147,23.0,IT,High School,6.0,5.0,170.0,5.0,41000.0,No
1148,30.0,Finance,Masters,15.0,45.0,202.0,1.0,56200.0,Yes
1149,52.0,Sales,Bachelors,17.0,7.0,150.0,5.0,64900.0,No
1150,24.0,Sales,PhD,3.0,13.0,166.0,1.0,46500.0,Yes
1151,53.0,Marketing,Masters,13.0,37.0,153.0,,65100.0,Yes
1152,32.0,Finance,High School,9.0,34.0,183.0,2.0,44800.0,Yes
1153,55.0,Sales,High School,13.0,44.0,165.0,2.0,58300.0,No
1154,32.0,HR,High School,24.0,34.0,420.0,1.0,60100.0,Yes
1155,38.0,HR,Masters,1.0,29.0,185.0,4.0,49800.0,Yes
1156,46.0,Marketing,Masters,25.0,16.0,197.0,1.0,71300.0,No
1157,26.0,HR,Bachelors,11.0,1.0,188.0,4.0,46900.0,Yes
1158,42.0,IT,Masters,20.0,6.0,176.0,4.0,67300.0,No
1159,40.0,IT,High School,11.0,14.0,201.0,5.0,54300.0,No
1160,51.0,IT,Masters,8.0,2.0,178.0,4.0,62000.0,No
