student_id,major,gpa_range,semester,completed_courses,elective
STU0001,Arts,Medium,Spring,Many,CloudComputing
STU0002,Business,Medium,Summer,Many,DataScience
STU0003,Science,Low,Fall,Many,CloudComputing
STU0004,Science,High,Summer,Moderate,Cybersecurity
STU0005,Science,High,Fall,Many,CloudComputing
STU0006,Business,Medium,Summer,Few,DataScience
STU0007,Business,Medium,Spring,Moderate,DataScience
STU0008,Arts,High,Fall,Many,CloudComputing
STU0009,Engineering,High,Spring,Many,AI
STU0010,Arts,Medium,Fall,Moderate,WebDev
STU0011,Arts,High,Fall,Few,AI
STU0012,Business,High,Fall,Moderate,WebDev
STU0013,Arts,High,Fall,Few,GameDev
STU0014,Business,Low,Fall,Moderate,DataScience
STU0015,Engineering,Low,Spring,Many,CloudComputing
STU0016,Engineering,Medium,Spring,Few,WebDev
STU0017,Business,Low,Summer,Few,Cybersecurity
STU0018,Science,Low,Summer,Moderate,CloudComputing
STU0019,Arts,Low,Fall,Moderate,GameDev
STU0020,Business,Medium,Spring,Moderate,DataScience
STU0021,Arts,Low,Spring,Moderate,AI
STU0022,Engineering,High,Fall,Moderate,DataScience
STU0023,Science,Medium,Summer,Moderate,CloudComputing
STU0024,Arts,High,Spring,Few,AI
STU0025,Engineering,Low,Spring,Moderate,AI
STU0026,Engineering,Low,Summer,Moderate,WebDev
STU0027,Arts,High,Summer,Few,DataScience
STU0028,Business,High,Summer,Moderate,CloudComputing
STU0029,Business,Low,Spring,Few,DataScience
STU0030,Engineering,Medium,Fall,Many,CloudComputing
STU0031,Business,High,Spring,Moderate,DataScience
STU0032,Business,Low,Fall,Many,DataScience
STU0033,Science,Low,Fall,Moderate,Cybersecurity
STU0034,Science,Medium,Spring,Moderate,Cybersecurity
STU0035,Arts,Medium,Fall,Few,WebDev
STU0036,Engineering,High,Summer,Moderate,DataScience
STU0037,Science,High,Fall,Few,DataScience
STU0038,Science,Medium,Spring,Few,Cybersecurity
STU0039,Arts,Low,Spring,Few,GameDev
STU0040,Engineering,Medium,Spring,Many,CloudComputing
STU0041,Science,Low,Fall,Moderate,GameDev
STU0042,Science,Medium,Summer,Few,GameDev
STU0043,Arts,Medium,Summer,Many,GameDev
STU0044,Engineering,Medium,Fall,Many,CloudComputing
STU0045,Business,Medium,Spring,Few,DataScience
STU0046,Arts,Low,Spring,Few,DataScience
STU0047,Business,High,Summer,Few,DataScience
STU0048,Arts,Low,Spring,Few,WebDev
STU0049,Arts,High,Fall,Moderate,WebDev
STU0050,Science,Medium,Summer,Few,Cybersecurity
STU0051,Engineering,High,Fall,Few,AI
STU0052,Engineering,High,Spring,Many,AI
STU0053,Science,Low,Summer,Many,CloudComputing
STU0054,Engineering,High,Summer,Few,DataScience
