date,temperature,humidity,rained_today,bought_umbrella
01-01-2025,23.8,56.2,No,No
02-01-2025,26.8,41.3,No,Yes
03-01-2025,24.8,84.5,No,Yes
04-01-2025,18.0,38.5,No,No
05-01-2025,31.9,53.4,Yes,No
06-01-2025,29.5,62.0,Yes,No
07-01-2025,29.7,81.6,Yes,Yes
08-01-2025,19.5,38.5,No,Yes
09-01-2025,33.4,77.4,No,Yes
10-01-2025,16.6,60.2,No,Yes
11-01-2025,28.5,45.3,Yes,Yes
12-01-2025,38.1,66.9,No,No
13-01-2025,19.1,63.0,No,Yes
14-01-2025,21.6,51.0,Yes,Yes
15-01-2025,25.6,61.0,Yes,Yes
16-01-2025,22.0,54.2,Yes,Yes
17-01-2025,15.7,61.7,Yes,Yes
18-01-2025,25.4,69.9,No,No
19-01-2025,18.6,83.8,No,No
20-01-2025,27.8,41.4,Yes,Yes
21-01-2025,19.5,92.0,No,No
22-01-2025,34.3,30.7,Yes,No
23-01-2025,20.3,57.7,Yes,Yes
24-01-2025,23.1,68.8,No,No
25-01-2025,29.9,64.2,No,No
26-01-2025,17.6,50.7,No,No
27-01-2025,26.4,56.9,Yes,Yes
28-01-2025,32.8,52.6,No,Yes
29-01-2025,15.4,51.2,No,No
30-01-2025,26.1,72.7,Yes,Yes
31-01-2025,26.6,65.4,No,No
01-02-2025,29.7,49.6,Yes,No
02-02-2025,17.6,73.5,Yes,Yes
03-02-2025,17.1,64.6,No,No
04-02-2025,28.1,72.2,No,Yes
05-02-2025,26.8,69.4,No,No
06-02-2025,26.5,47.6,Yes,No
07-02-2025,27.1,51.6,Yes,Yes
08-02-2025,20.9,71.2,No,No
09-02-2025,26.4,69.2,No,No
10-02-2025,26.8,59.7,Yes,No
11-02-2025,20.7,61.8,No,Yes
12-02-2025,36.2,79.2,Yes,Yes
13-02-2025,27.8,51.1,No,No
14-02-2025,17.9,68.2,Yes,Yes
15-02-2025,28.9,57.0,No,No
16-02-2025,19.2,56.7,Yes,Yes
17-02-2025,29.7,76.5,No,Yes
18-02-2025,32.0,72.4,No,No
19-02-2025,20.1,72.2,Yes,Yes
20-02-2025,30.8,79.6,No,Yes
21-02-2025,27.5,60.3,No,No
22-02-2025,29.9,70.2,No,Yes
23-02-2025,36.4,55.3,No,No
24-02-2025,23.5,64.9,No,No
25-02-2025,20.5,58.0,No,No
26-02-2025,19.7,61.5,Yes,Yes
27-02-2025,20.1,68.9,Yes,No
28-02-2025,24.5,47.7,Yes,Yes
01-03-2025,27.0,91.4,Yes,Yes
02-03-2025,26.7,44.9,No,No
03-03-2025,30.0,41.8,Yes,Yes
04-03-2025,25.1,77.4,No,No
05-03-2025,33.7,71.9,No,No
06-03-2025,23.4,69.4,Yes,No
07-03-2025,41.3,69.4,No,No
08-03-2025,28.8,59.8,Yes,Yes
09-03-2025,19.9,46.5,No,Yes
