Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Kilometers_Driven,Owner_Type,Mileage_kmpl,Engine_CC,Power_bhp,Seats,Price
CAR0001,Hyundai,Creta,2018,Petrol,Manual,22109,First,13.1,1500.0,56.6,7.0,3.6
CAR0002,Nissan,Magnite,2021,CNG,Manual,32010,First,11.0,1200.0,77.8,5.0,3.49
CAR0003,Mahindra,XUV500,2018,Diesel,Manual,18787,First,23.2,800.0,131.2,5.0,4.78
CAR0004,Tata,Punch,2018,CNG,Manual,149544,First,15.8,1200.0,146.8,7.0,2.33
CAR0005,Maruti,Dzire,2021,Electric,Manual,71709,First,18.1,1200.0,56.8,5.0,4.83
CAR0006,Maruti,WagonR,2016,Petrol,Automatic,44518,Second,24.5,1000.0,191.9,5.0,2.52
CAR0007,Maruti,WagonR,2013,Petrol,Manual,63909,Second,11.0,1500.0,176.3,7.0,1.79
CAR0008,Renault,Captur,2010,Diesel,Manual,28351,Second,19.7,2200.0,94.5,5.0,1.13
CAR0009,Tata,Harrier,2020,Diesel,Manual,25282,First,11.1,1500.0,,5.0,3.69
CAR0010,Mahindra,Thar,2018,Petrol,Manual,15075,Third,15.6,1500.0,75.5,7.0,2.95
CAR0011,Maruti,Vitara Brezza,2019,Diesel,Manual,38365,Second,22.1,800.0,69.0,7.0,3.82
CAR0012,Chevrolet,Trailblazer,2014,Petrol,Manual,21002,First,16.5,1200.0,68.5,,1.63
CAR0013,Toyota,Camry,2013,Petrol,Automatic,23947,Second,25.0,1000.0,127.8,5.0,3.67
CAR0014,Maruti,Baleno,2010,Petrol,Manual,104840,First,18.4,1500.0,86.9,5.0,1.01
CAR0015,Maruti,Baleno,2016,Diesel,Automatic,126219,First,14.8,2000.0,103.7,5.0,2.74
CAR0016,Maruti,Alto,2018,Diesel,Automatic,88610,Third,13.3,1500.0,198.4,5.0,2.91
CAR0017,Hyundai,Creta,2016,Petrol,Manual,62142,First,15.3,800.0,152.6,5.0,2.73
CAR0018,Honda,Jazz,2017,Diesel,Automatic,66307,First,15.6,1200.0,192.3,5.0,5.03
CAR0019,Hyundai,Elantra,2021,Petrol,Manual,145565,Third,11.0,1500.0,71.4,5.0,2.48
CAR0020,Hyundai,Verna,2016,Petrol,Automatic,60085,Second,15.5,1200.0,107.3,5.0,2.89
CAR0021,Tata,Safari,2017,Diesel,Manual,44228,First,,1600.0,133.2,5.0,3.09
CAR0022,Maruti,Ertiga,2020,CNG,Automatic,53472,First,20.8,,61.5,5.0,4.12
CAR0023,Hyundai,Venue,2016,Diesel,Automatic,59437,First,19.9,1500.0,50.6,5.0,3.21
CAR0024,Hyundai,Creta,2018,Diesel,Automatic,69711,Second,20.6,1200.0,150.6,5.0,4.19
CAR0025,Honda,WR-V,2021,Diesel,Automatic,147888,First,10.1,1000.0,146.3,5.0,6.21
CAR0026,Ford,EcoSport,2022,Diesel,Manual,87175,First,13.3,1000.0,111.6,,5.3
CAR0027,Maruti,Ertiga,2013,Petrol,Manual,74307,Fourth & Above,19.9,1200.0,123.4,5.0,1.15
CAR0028,Honda,CR-V,2021,Petrol,Manual,56733,Second,17.3,1200.0,112.3,8.0,5.5
CAR0029,Tata,Nexon,2017,Petrol,Manual,138202,First,10.1,1500.0,53.6,5.0,1.67
CAR0030,Maruti,Baleno,2015,Petrol,Manual,105028,Second,22.1,1500.0,100.3,8.0,2.05
CAR0031,Tata,Harrier,2017,Diesel,Manual,102493,Second,21.6,800.0,76.6,5.0,2.17
CAR0032,Maruti,Swift,2023,Petrol,Automatic,135149,First,18.2,1200.0,64.8,5.0,4.79
