InvoiceID,SaleDate,CustomerID,Region,ProductCategory,Quantity,UnitPrice,DiscountPercent,TotalAmount
INV00001,15-12-2023,CUST6390,East,TVs,7,1782.08,0,12474.56
INV00002,10-04-2023,CUST9322,Central,Smartphones,6,300.93,20,1805.58
INV00003,10-11-2023,CUST7396,West,Speakers,10,132.67,20,1326.7
INV00004,24-06-2023,CUST4005,East,Gaming Consoles,5,313.94,5,1569.7
INV00005,16-06-2023,CUST6393,West,Speakers,4,369.79,0,1479.16
INV00006,02-04-2023,CUST6486,West,Gaming Consoles,8,310.32,15,2482.56
INV00007,26-12-2023,CUST8555,South,Smartwatches,4,270.16,20,1080.64
INV00008,11-06-2023,CUST5297,West,TVs,9,3379.63,10,30416.67
INV00009,22-02-2023,CUST5887,South,Speakers,9,307.39,0,2766.51
INV00010,09-01-2022,CUST6463,North,TVs,3,2591.26,10,7773.78
INV00011,18-09-2023,CUST4561,South,Speakers,0,695.03,5,0
INV00012,03-03-2022,CUST9996,East,TVs,3,1863.87,0,5591.61
INV00013,14-09-2023,CUST2028,South,Gaming Consoles,7,312.13,10,2184.91
INV00014,28-06-2022,CUST1863,North,Headphones,4,367.65,0,1470.6
INV00015,20-06-2023,CUST5636,West,Gaming Consoles,6,564.14,5,3384.84
INV00016,14-05-2023,CUST4627,West,Accessories,9,70.42,0,633.78
INV00017,01-05-2023,CUST6864,East,Gaming Consoles,9,445.45,10,4009.05
INV00018,01-06-2023,CUST2998,East,Smartwatches,8,606.96,0,4855.68
INV00019,21-02-2024,CUST2291,South,Tablets,1,998.19,0,998.19
INV00020,07-08-2024,CUST1854,Central,Laptops,2,1561.87,5,3123.74
INV00021,04-09-2023,CUST5931,East,TVs,6,1540.13,5,9240.78
INV00022,28-08-2023,CUST7287,North,Speakers,6,587.07,15,3522.42
INV00023,12-12-2023,CUST2986,East,Headphones,4,379.18,0,1516.72
INV00024,26-12-2023,CUST5736,East,Speakers,7,479.01,10,3353.07
INV00025,24-05-2023,CUST9815,North,Headphones,2,398.69,20,797.38
INV00026,09-06-2023,CUST8158,North,Speakers,3,699.43,,2098.29
INV00027,25-04-2024,CUST2648,West,Smartwatches,3,391.98,15,1175.94
INV00028,31-12-2024,CUST5433,South,Smartwatches,9,264.35,0,2379.15
INV00029,31-10-2023,CUST4987,East,Laptops,3,1772.67,0,5318.01
INV00030,18-08-2023,CUST4436,East,Smartwatches,0,432.36,0,0
INV00031,13-11-2023,CUST8683,East,Laptops,5,2266.99,10,11334.95
INV00032,14-12-2024,CUST1301,Central,Tablets,-2,435.56,0,-871.12
INV00033,12-09-2024,CUST4394,South,Speakers,6,587.22,5,3523.32
INV00034,15-10-2022,CUST5014,South,Accessories,0,150.75,10,0
INV00035,25-06-2023,CUST8206,Central,Accessories,3,58.68,5,176.04
INV00036,09-11-2022,CUST5780,West,Laptops,3,1175.99,0,3527.97
INV00037,03-08-2022,CUST1853,East,Speakers,6,513.58,0,3081.48
INV00038,22-11-2022,CUST4854,East,Cameras,5,1106.01,20,5530.05
INV00039,19-09-2023,CUST1876,West,Tablets,4,306.2,20,1224.8
INV00040,27-05-2023,CUST5752,East,Accessories,5,45.02,0,225.1
INV00041,09-05-2023,CUST2081,South,Laptops,6,1929.19,,11575.14
INV00042,29-09-2023,CUST5070,Central,Smartwatches,3,311.03,0,933.09
INV00043,04-07-2023,CUST6188,North,Headphones,10,317.18,10,3171.8
INV00044,11-09-2023,CUST5452,South,Accessories,0,178.47,0,0
INV00045,27-05-2022,CUST3489,North,TVs,4,2309.14,15,9236.56
INV00046,08-06-2024,CUST1851,West,Smartphones,1,849.9,5,849.9
INV00047,18-11-2024,CUST6536,South,Smartphones,2,1119.61,0,2239.22
INV00048,31-03-2023,CUST1417,East,Speakers,10,587.72,5,5877.2
INV00049,04-08-2024,CUST8164,North,Headphones,9,248.98,5,2240.82
